AboutActivity.java saved 	AboutActivity.java saved 
action button 	action button 
android support 	android support 
design 	design 
widget navigation 	widget navigation 
view android 	view android 
support 	support 
design widget 	design widget 
snackbar android 	snackbar android 
support 	support 
content context 	content context 
compat 	compat 
android support 	android support 
view gravity 	view gravity 
compat 	compat 
android support 	android support 
widget drawer 	widget drawer 
layout 	layout 
android support 	android support 
widget swipe 	widget swipe 
refresh 	refresh 
layout android 	layout android 
support app 	support app 
action 	action 
bar drawer 	bar drawer 
toggle 	toggle 
android support 	android support 
app alert 	app alert 
dialog 	dialog 
android support 	android support 
widget linear 	widget linear 
layout 	layout 
manager android 	manager android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support widget 	support widget 
toolbar 	toolbar 
android log 	android log 
android 	android 
view menu 	view menu 
item android 	item android 
view 	view 
view android 	view android 
view animation 	view animation 
accelerate 	accelerate 
interpolator android 	interpolator android 
view animation 	view animation 
decelerate 	decelerate 
interpolator android 	interpolator android 
widget image 	widget image 
view 	view 
android widget 	android widget 
progress 	progress 
bar android 	bar android 
widget relative 	widget relative 
layout 	layout 
amap api 	amap api 
location map 	location map 
location 	location 
amap api 	amap api 
location map 	location map 
location 	location 
client amap 	client amap 
api location 	api location 
map 	map 
location client 	location client 
option 	option 
amap api 	amap api 
location map 	location map 
location 	location 
listener bumptech 	listener bumptech 
glide glide 	glide glide 
bumptech 	bumptech 
glide load 	glide load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
activity 	activity 
xiecc see 	xiecc see 
weather common 	weather common 
check 	check 
version xiecc 	version xiecc 
see weather 	see weather 
common 	common 
log xiecc 	log xiecc 
see weather 	see weather 
common 	common 
xiecc see 	xiecc see 
weather component 	weather component 
retrofit 	retrofit 
singleton xiecc 	singleton xiecc 
see 	see 
weather modules 	weather modules 
adatper weather 	adatper weather 
adapter 	adapter 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting xiecc 	setting xiecc 
see weather 	see weather 
modules 	modules 
domain weather 	domain weather 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
weather 	weather 
api xiecc 	api xiecc 
see weather 	see weather 
modules 	modules 
listener hiding 	listener hiding 
scroll listener 	scroll listener 
xiecc 	xiecc 
see weather 	see weather 
modules activity 	modules activity 
xiecc 	xiecc 
see weather 	see weather 
modules setting 	modules setting 
setting 	setting 
activity calendar 	activity calendar 
observable 	observable 
observer android 	observer android 
schedulers android 	schedulers android 
schedulers 	schedulers 
functions action 	functions action 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
annotation suppress 	annotation suppress 
lint 	lint 
android content 	android content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net 	net 
uri android 	uri android 
build android 	build android 
bundle 	bundle 
android handler 	android handler 
android message 	android message 
android 	android 
support design 	support design 
widget collapsing 	widget collapsing 
toolbar 	toolbar 
layout android 	layout android 
support design 	support design 
widget 	widget 
coordinator layout 	coordinator layout 
android 	android 
support design 	support design 
widget floating 	widget floating 
action 	action 
button android 	button android 
support design 	support design 
widget 	widget 
navigation view 	navigation view 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android support 	android support 
content 	content 
context compat 	context compat 
android 	android 
support view 	support view 
gravity compat 	gravity compat 
android 	android 
support widget 	support widget 
drawer layout 	drawer layout 
android 	android 
support widget 	support widget 
swipe refresh 	swipe refresh 
layout 	layout 
android support 	android support 
app action 	app action 
bar 	bar 
drawer toggle 	drawer toggle 
android 	android 
support app 	support app 
alert dialog 	alert dialog 
android 	android 
support widget 	support widget 
linear layout 	linear layout 
manager 	manager 
android support 	android support 
widget recycler 	widget recycler 
view 	view 
android support 	android support 
widget toolbar 	widget toolbar 
android 	android 
log android 	log android 
view 	view 
menu item 	menu item 
android view 	android view 
view 	view 
android view 	android view 
animation accelerate 	animation accelerate 
interpolator 	interpolator 
android view 	android view 
animation decelerate 	animation decelerate 
interpolator 	interpolator 
android widget 	android widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar 	bar 
android widget 	android widget 
relative layout 	relative layout 
amap 	amap 
api location 	api location 
map location 	map location 
amap 	amap 
api location 	api location 
map location 	map location 
client 	client 
amap api 	amap api 
location map 	location map 
location 	location 
client option 	client option 
amap 	amap 
api location 	api location 
map location 	map location 
listener 	listener 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc 	xiecc 
see weather 	see weather 
common check 	common check 
version 	version 
xiecc see 	xiecc see 
weather common 	weather common 
log 	log 
xiecc see 	xiecc see 
weather common 	weather common 
xiecc 	xiecc 
see weather 	see weather 
component retrofit 	component retrofit 
singleton 	singleton 
xiecc see 	xiecc see 
weather 	weather 
modules adatper 	modules adatper 
weather adapter 	weather adapter 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
weather xiecc 	weather xiecc 
see 	see 
weather modules 	weather modules 
domain weather 	domain weather 
api 	api 
xiecc see 	xiecc see 
weather modules 	weather modules 
listener 	listener 
hiding scroll 	hiding scroll 
listener xiecc 	listener xiecc 
see 	see 
weather modules 	weather modules 
activity xiecc 	activity xiecc 
see 	see 
weather modules 	weather modules 
setting 	setting 
setting activity 	setting activity 
calendar observable 	calendar observable 
observer 	observer 
android schedulers 	android schedulers 
android schedulers 	android schedulers 
functions 	functions 
action functions 	action functions 
func schedulers 	func schedulers 
schedulers 	schedulers 
android annotation 	android annotation 
suppress lint 	suppress lint 
android 	android 
content dialog 	content dialog 
android 	android 
content intent 	content intent 
android net 	android net 
uri 	uri 
android build 	android build 
android bundle 	android bundle 
android 	android 
handler android 	handler android 
message android 	message android 
support 	support 
design widget 	design widget 
collapsing toolbar 	collapsing toolbar 
layout 	layout 
android support 	android support 
design 	design 
widget coordinator 	widget coordinator 
layout android 	layout android 
support 	support 
design widget 	design widget 
floating action 	floating action 
button 	button 
android support 	android support 
design widget 	design widget 
navigation 	navigation 
view android 	view android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support 	support 
content context 	content context 
compat android 	compat android 
support 	support 
view gravity 	view gravity 
compat android 	compat android 
support 	support 
widget drawer 	widget drawer 
layout android 	layout android 
support 	support 
widget swipe 	widget swipe 
refresh layout 	refresh layout 
android 	android 
support app 	support app 
action 	action 
bar drawer 	bar drawer 
toggle android 	toggle android 
support 	support 
app alert 	app alert 
dialog android 	dialog android 
support 	support 
widget linear 	widget linear 
layout manager 	layout manager 
android 	android 
support widget 	support widget 
recycler view 	recycler view 
android 	android 
support widget 	support widget 
toolbar 	toolbar 
android log 	android log 
android view 	android view 
menu 	menu 
item android 	item android 
view view 	view view 
android 	android 
view animation 	view animation 
accelerate interpolator 	accelerate interpolator 
android 	android 
view animation 	view animation 
decelerate interpolator 	decelerate interpolator 
android 	android 
widget image 	widget image 
view 	view 
android widget 	android widget 
progress bar 	progress bar 
android 	android 
widget relative 	widget relative 
layout amap 	layout amap 
api 	api 
location map 	location map 
location amap 	location amap 
api 	api 
location map 	location map 
location client 	location client 
amap 	amap 
api location 	api location 
map 	map 
location client 	location client 
option amap 	option amap 
api 	api 
location map 	location map 
location listener 	location listener 
bumptech 	bumptech 
glide glide 	glide glide 
bumptech glide 	bumptech glide 
load 	load 
engine disk 	engine disk 
cache strategy 	cache strategy 
xiecc 	xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
activity xiecc 	activity xiecc 
see 	see 
weather common 	weather common 
check version 	check version 
xiecc 	xiecc 
see weather 	see weather 
common log 	common log 
xiecc 	xiecc 
see weather 	see weather 
common xiecc 	common xiecc 
see 	see 
weather component 	weather component 
retrofit 	retrofit 
singleton xiecc 	singleton xiecc 
see weather 	see weather 
modules 	modules 
adatper weather 	adatper weather 
adapter xiecc 	adapter xiecc 
see 	see 
weather modules 	weather modules 
domain setting 	domain setting 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
weather 	weather 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
weather api 	weather api 
xiecc 	xiecc 
see weather 	see weather 
modules listener 	modules listener 
hiding 	hiding 
scroll listener 	scroll listener 
xiecc see 	xiecc see 
weather 	weather 
modules activity 	modules activity 
xiecc see 	xiecc see 
weather 	weather 
modules setting 	modules setting 
setting 	setting 
activity calendar 	activity calendar 
observable observer 	observable observer 
android 	android 
schedulers android 	schedulers android 
schedulers functions 	schedulers functions 
action 	action 
functions func 	functions func 
schedulers schedulers 	schedulers schedulers 
android 	android 
annotation suppress 	annotation suppress 
lint android 	lint android 
content 	content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net uri 	net uri 
android 	android 
build android 	build android 
bundle android 	bundle android 
handler 	handler 
android message 	android message 
android support 	android support 
design 	design 
widget collapsing 	widget collapsing 
toolbar layout 	toolbar layout 
android 	android 
support design 	support design 
widget 	widget 
coordinator layout 	coordinator layout 
android support 	android support 
design 	design 
widget floating 	widget floating 
action button 	action button 
android 	android 
support design 	support design 
widget navigation 	widget navigation 
view 	view 
android support 	android support 
design widget 	design widget 
snackbar 	snackbar 
android support 	android support 
content 	content 
context compat 	context compat 
android support 	android support 
view 	view 
gravity compat 	gravity compat 
android support 	android support 
widget 	widget 
drawer layout 	drawer layout 
android support 	android support 
widget 	widget 
swipe refresh 	swipe refresh 
layout android 	layout android 
support 	support 
app action 	app action 
bar 	bar 
drawer toggle 	drawer toggle 
android support 	android support 
app 	app 
alert dialog 	alert dialog 
android support 	android support 
widget 	widget 
linear layout 	linear layout 
manager android 	manager android 
support 	support 
widget recycler 	widget recycler 
view android 	view android 
support 	support 
widget toolbar 	widget toolbar 
android 	android 
log android 	log android 
view menu 	view menu 
item 	item 
android view 	android view 
view android 	view android 
view 	view 
animation accelerate 	animation accelerate 
interpolator android 	interpolator android 
view 	view 
animation decelerate 	animation decelerate 
interpolator android 	interpolator android 
widget 	widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar android 	bar android 
widget 	widget 
relative layout 	relative layout 
amap api 	amap api 
location 	location 
map location 	map location 
amap api 	amap api 
location 	location 
map location 	map location 
client amap 	client amap 
api 	api 
location map 	location map 
location 	location 
client option 	client option 
amap api 	amap api 
location 	location 
map location 	map location 
listener bumptech 	listener bumptech 
glide 	glide 
glide bumptech 	glide bumptech 
glide load 	glide load 
engine 	engine 
disk cache 	disk cache 
strategy xiecc 	strategy xiecc 
see 	see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc see 	xiecc see 
weather 	weather 
common check 	common check 
version xiecc 	version xiecc 
see 	see 
weather common 	weather common 
log xiecc 	log xiecc 
see 	see 
weather common 	weather common 
xiecc see 	xiecc see 
weather 	weather 
component retrofit 	component retrofit 
singleton 	singleton 
xiecc see 	xiecc see 
weather modules 	weather modules 
adatper 	adatper 
weather adapter 	weather adapter 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting xiecc 	setting xiecc 
see 	see 
weather modules 	weather modules 
domain weather 	domain weather 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
domain weather 	domain weather 
api xiecc 	api xiecc 
see 	see 
weather modules 	weather modules 
listener hiding 	listener hiding 
scroll 	scroll 
listener xiecc 	listener xiecc 
see weather 	see weather 
modules 	modules 
activity xiecc 	activity xiecc 
see 	see 
weather modules 	weather modules 
setting setting 	setting setting 
activity 	activity 
calendar observable 	calendar observable 
observer android 	observer android 
schedulers 	schedulers 
android schedulers 	android schedulers 
functions action 	functions action 
functions 	functions 
func schedulers 	func schedulers 
schedulers android 	schedulers android 
annotation 	annotation 
suppress lint 	suppress lint 
android 	android 
content dialog 	content dialog 
android content 	android content 
intent 	intent 
android net 	android net 
uri android 	uri android 
build 	build 
android bundle 	android bundle 
android handler 	android handler 
android 	android 
message android 	message android 
support design 	support design 
widget 	widget 
collapsing toolbar 	collapsing toolbar 
layout 	layout 
android support 	android support 
design widget 	design widget 
coordinator 	coordinator 
layout android 	layout android 
support design 	support design 
widget 	widget 
floating action 	floating action 
button android 	button android 
support 	support 
design widget 	design widget 
navigation view 	navigation view 
android 	android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support content 	support content 
context 	context 
compat android 	compat android 
support view 	support view 
gravity 	gravity 
compat android 	compat android 
support widget 	support widget 
drawer 	drawer 
layout android 	layout android 
support widget 	support widget 
swipe 	swipe 
refresh layout 	refresh layout 
android 	android 
support app 	support app 
action bar 	action bar 
drawer 	drawer 
toggle android 	toggle android 
support app 	support app 
alert 	alert 
dialog android 	dialog android 
support widget 	support widget 
linear 	linear 
layout manager 	layout manager 
android support 	android support 
widget 	widget 
recycler view 	recycler view 
android 	android 
support widget 	support widget 
toolbar android 	toolbar android 
log 	log 
android view 	android view 
menu item 	menu item 
android 	android 
view view 	view view 
android view 	android view 
animation 	animation 
accelerate interpolator 	accelerate interpolator 
android view 	android view 
animation 	animation 
decelerate interpolator 	decelerate interpolator 
android 	android 
widget image 	widget image 
view android 	view android 
widget 	widget 
progress bar 	progress bar 
android widget 	android widget 
relative 	relative 
layout amap 	layout amap 
api location 	api location 
map 	map 
location amap 	location amap 
api location 	api location 
map 	map 
location client 	location client 
amap 	amap 
api location 	api location 
map location 	map location 
client 	client 
option amap 	option amap 
api location 	api location 
map 	map 
location listener 	location listener 
bumptech glide 	bumptech glide 
glide 	glide 
bumptech glide 	bumptech glide 
load engine 	load engine 
disk 	disk 
cache strategy 	cache strategy 
xiecc 	xiecc 
see weather 	see weather 
xiecc see 	xiecc see 
weather 	weather 
activity xiecc 	activity xiecc 
see weather 	see weather 
common 	common 
check version 	check version 
xiecc see 	xiecc see 
weather 	weather 
common log 	common log 
xiecc see 	xiecc see 
weather 	weather 
common xiecc 	common xiecc 
see 	see 
weather component 	weather component 
retrofit singleton 	retrofit singleton 
xiecc 	xiecc 
see weather 	see weather 
modules adatper 	modules adatper 
weather 	weather 
adapter xiecc 	adapter xiecc 
see weather 	see weather 
modules 	modules 
domain setting 	domain setting 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
weather 	weather 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
weather api 	weather api 
xiecc see 	xiecc see 
weather 	weather 
modules listener 	modules listener 
hiding scroll 	hiding scroll 
listener 	listener 
xiecc see 	xiecc see 
weather modules 	weather modules 
activity 	activity 
xiecc see 	xiecc see 
weather 	weather 
modules setting 	modules setting 
setting activity 	setting activity 
calendar 	calendar 
observable observer 	observable observer 
android schedulers 	android schedulers 
android 	android 
schedulers functions 	schedulers functions 
action functions 	action functions 
func 	func 
schedulers schedulers 	schedulers schedulers 
android annotation 	android annotation 
suppress 	suppress 
lint android 	lint android 
content 	content 
dialog android 	dialog android 
content intent 	content intent 
android 	android 
net uri 	net uri 
android build 	android build 
android 	android 
bundle android 	bundle android 
handler android 	handler android 
message 	message 
android support 	android support 
design widget 	design widget 
collapsing 	collapsing 
toolbar layout 	toolbar layout 
android 	android 
support design 	support design 
widget coordinator 	widget coordinator 
layout 	layout 
android support 	android support 
design widget 	design widget 
floating 	floating 
action button 	action button 
android support 	android support 
design 	design 
widget navigation 	widget navigation 
view android 	view android 
support 	support 
design widget 	design widget 
snackbar 	snackbar 
android support 	android support 
content context 	content context 
compat 	compat 
android support 	android support 
view gravity 	view gravity 
compat 	compat 
android support 	android support 
widget drawer 	widget drawer 
layout 	layout 
android support 	android support 
widget swipe 	widget swipe 
refresh 	refresh 
layout android 	layout android 
support 	support 
app action 	app action 
bar drawer 	bar drawer 
toggle 	toggle 
android support 	android support 
app alert 	app alert 
dialog 	dialog 
android support 	android support 
widget linear 	widget linear 
layout 	layout 
manager android 	manager android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support 	support 
widget toolbar 	widget toolbar 
android log 	android log 
android 	android 
view menu 	view menu 
item android 	item android 
view 	view 
view android 	view android 
view animation 	view animation 
accelerate 	accelerate 
interpolator android 	interpolator android 
view animation 	view animation 
decelerate 	decelerate 
interpolator android 	interpolator android 
widget 	widget 
image view 	image view 
android widget 	android widget 
progress 	progress 
bar android 	bar android 
widget relative 	widget relative 
layout 	layout 
amap api 	amap api 
location map 	location map 
location 	location 
amap api 	amap api 
location map 	location map 
location 	location 
client amap 	client amap 
api 	api 
location map 	location map 
location client 	location client 
option 	option 
amap api 	amap api 
location map 	location map 
location 	location 
listener bumptech 	listener bumptech 
glide glide 	glide glide 
bumptech 	bumptech 
glide load 	glide load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see 	see 
weather xiecc 	weather xiecc 
see weather 	see weather 
activity 	activity 
xiecc see 	xiecc see 
weather common 	weather common 
check 	check 
version xiecc 	version xiecc 
see weather 	see weather 
common 	common 
log xiecc 	log xiecc 
see weather 	see weather 
common 	common 
xiecc see 	xiecc see 
weather 	weather 
component retrofit 	component retrofit 
singleton xiecc 	singleton xiecc 
see 	see 
weather modules 	weather modules 
adatper weather 	adatper weather 
adapter 	adapter 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
setting xiecc 	setting xiecc 
see weather 	see weather 
modules 	modules 
domain weather 	domain weather 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
weather 	weather 
api xiecc 	api xiecc 
see weather 	see weather 
modules 	modules 
listener hiding 	listener hiding 
scroll listener 	scroll listener 
xiecc 	xiecc 
see weather 	see weather 
modules activity 	modules activity 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
setting setting 	setting setting 
activity calendar 	activity calendar 
observable 	observable 
observer android 	observer android 
schedulers android 	schedulers android 
schedulers 	schedulers 
functions action 	functions action 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
annotation 	annotation 
suppress lint 	suppress lint 
android content 	android content 
dialog 	dialog 
android content 	android content 
intent android 	intent android 
net 	net 
uri android 	uri android 
build android 	build android 
bundle 	bundle 
android handler 	android handler 
android message 	android message 
android 	android 
support design 	support design 
widget 	widget 
collapsing toolbar 	collapsing toolbar 
layout android 	layout android 
support 	support 
design widget 	design widget 
coordinator layout 	coordinator layout 
android 	android 
support design 	support design 
widget floating 	widget floating 
action 	action 
button android 	button android 
support design 	support design 
widget 	widget 
navigation view 	navigation view 
android 	android 
support design 	support design 
widget snackbar 	widget snackbar 
android 	android 
support content 	support content 
context compat 	context compat 
android 	android 
support view 	support view 
gravity compat 	gravity compat 
android 	android 
support widget 	support widget 
drawer layout 	drawer layout 
android 	android 
support widget 	support widget 
swipe 	swipe 
refresh layout 	refresh layout 
android support 	android support 
app 	app 
action bar 	action bar 
drawer toggle 	drawer toggle 
android 	android 
support app 	support app 
alert dialog 	alert dialog 
android 	android 
support widget 	support widget 
linear layout 	linear layout 
manager 	manager 
android support 	android support 
widget 	widget 
recycler view 	recycler view 
android support 	android support 
widget 	widget 
toolbar android 	toolbar android 
log android 	log android 
view 	view 
menu item 	menu item 
android view 	android view 
view 	view 
android view 	android view 
animation accelerate 	animation accelerate 
interpolator 	interpolator 
android view 	android view 
animation 	animation 
decelerate interpolator 	decelerate interpolator 
android widget 	android widget 
image 	image 
view android 	view android 
widget progress 	widget progress 
bar 	bar 
android widget 	android widget 
relative layout 	relative layout 
amap 	amap 
api location 	api location 
map location 	map location 
amap 	amap 
api location 	api location 
map 	map 
location client 	location client 
amap api 	amap api 
location 	location 
map location 	map location 
client option 	client option 
amap 	amap 
api location 	api location 
map location 	map location 
listener 	listener 
bumptech glide 	bumptech glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk 	disk 
cache strategy 	cache strategy 
xiecc see 	xiecc see 
weather 	weather 
xiecc see 	xiecc see 
weather activity 	weather activity 
xiecc 	xiecc 
see weather 	see weather 
common check 	common check 
version 	version 
xiecc see 	xiecc see 
weather common 	weather common 
log 	log 
xiecc see 	xiecc see 
weather 	weather 
common xiecc 	common xiecc 
see weather 	see weather 
component 	component 
retrofit singleton 	retrofit singleton 
xiecc see 	xiecc see 
weather 	weather 
modules adatper 	modules adatper 
weather adapter 	weather adapter 
xiecc 	xiecc 
see weather 	see weather 
modules domain 	modules domain 
setting 	setting 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
weather xiecc 	weather xiecc 
see 	see 
weather modules 	weather modules 
domain weather 	domain weather 
api 	api 
xiecc see 	xiecc see 
weather modules 	weather modules 
listener 	listener 
hiding scroll 	hiding scroll 
listener xiecc 	listener xiecc 
see 	see 
weather modules 	weather modules 
activity 	activity 
xiecc see 	xiecc see 
weather modules 	weather modules 
setting 	setting 
setting activity 	setting activity 
calendar observable 	calendar observable 
observer 	observer 
android schedulers 	android schedulers 
android schedulers 	android schedulers 
functions 	functions 
action functions 	action functions 
func schedulers 	func schedulers 
schedulers 	schedulers 
android annotation 	android annotation 
suppress 	suppress 
lint android 	lint android 
content dialog 	content dialog 
android 	android 
content intent 	content intent 
android net 	android net 
uri 	uri 
android build 	android build 
android bundle 	android bundle 
android 	android 
handler android 	handler android 
message android 	message android 
support 	support 
design widget 	design widget 
collapsing 	collapsing 
toolbar layout 	toolbar layout 
android support 	android support 
design 	design 
widget coordinator 	widget coordinator 
layout android 	layout android 
support 	support 
design widget 	design widget 
floating action 	floating action 
button 	button 
android support 	android support 
design widget 	design widget 
navigation 	navigation 
view android 	view android 
support 	support 
design widget 	design widget 
snackbar android 	snackbar android 
support 	support 
content context 	content context 
compat android 	compat android 
support 	support 
view gravity 	view gravity 
compat android 	compat android 
support 	support 
widget drawer 	widget drawer 
layout android 	layout android 
support 	support 
widget swipe 	widget swipe 
refresh 	refresh 
layout android 	layout android 
support app 	support app 
action 	action 
bar drawer 	bar drawer 
toggle android 	toggle android 
support 	support 
app alert 	app alert 
dialog android 	dialog android 
support 	support 
widget linear 	widget linear 
layout manager 	layout manager 
android 	android 
support widget 	support widget 
recycler 	recycler 
view android 	view android 
support widget 	support widget 
toolbar 	toolbar 
android log 	android log 
android view 	android view 
menu 	menu 
item android 	item android 
view view 	view view 
android 	android 
view animation 	view animation 
accelerate interpolator 	accelerate interpolator 
android 	android 
view animation 	view animation 
decelerate 	decelerate 
interpolator android 	interpolator android 
widget image 	widget image 
view 	view 
android widget 	android widget 
progress bar 	progress bar 
android 	android 
widget relative 	widget relative 
layout amap 	layout amap 
api 	api 
location map 	location map 
location amap 	location amap 
api 	api 
location map 	location map 
location 	location 
client amap 	client amap 
api location 	api location 
map 	map 
location client 	location client 
option amap 	option amap 
api 	api 
location map 	location map 
location listener 	location listener 
bumptech 	bumptech 
glide glide 	glide glide 
bumptech glide 	bumptech glide 
load 	load 
engine disk 	engine disk 
cache 	cache 
strategy xiecc 	strategy xiecc 
see weather 	see weather 
xiecc 	xiecc 
see weather 	see weather 
activity xiecc 	activity xiecc 
see 	see 
weather common 	weather common 
check version 	check version 
xiecc 	xiecc 
see weather 	see weather 
common log 	common log 
xiecc 	xiecc 
see weather 	see weather 
common 	common 
xiecc see 	xiecc see 
weather component 	weather component 
retrofit 	retrofit 
singleton xiecc 	singleton xiecc 
see weather 	see weather 
modules 	modules 
adatper weather 	adatper weather 
adapter xiecc 	adapter xiecc 
see 	see 
weather modules 	weather modules 
domain setting 	domain setting 
xiecc 	xiecc 
see weather 	see weather 
modules 	modules 
domain weather 	domain weather 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
weather api 	weather api 
xiecc 	xiecc 
see weather 	see weather 
modules listener 	modules listener 
hiding 	hiding 
scroll listener 	scroll listener 
xiecc see 	xiecc see 
weather 	weather 
modules activity 	modules activity 
xiecc 	xiecc 
see weather 	see weather 
modules setting 	modules setting 
setting 	setting 
activity calendar 	activity calendar 
observable observer 	observable observer 
android 	android 
schedulers android 	schedulers android 
schedulers functions 	schedulers functions 
action 	action 
functions func 	functions func 
schedulers 	schedulers 
schedulers android 	schedulers android 
annotation suppress 	annotation suppress 
lint 	lint 
android content 	android content 
dialog android 	dialog android 
content 	content 
intent android 	intent android 
net uri 	net uri 
android 	android 
build android 	build android 
bundle android 	bundle android 
handler 	handler 
android message 	android message 
android 	android 
support design 	support design 
widget collapsing 	widget collapsing 
toolbar 	toolbar 
layout android 	layout android 
support design 	support design 
widget 	widget 
coordinator layout 	coordinator layout 
android support 	android support 
design 	design 
widget floating 	widget floating 
action button 	action button 
android 	android 
support design 	support design 
widget 	widget 
navigation view 	navigation view 
android support 	android support 
design 	design 
widget snackbar 	widget snackbar 
android support 	android support 
content 	content 
context compat 	context compat 
android support 	android support 
view 	view 
gravity compat 	gravity compat 
android support 	android support 
widget 	widget 
drawer layout 	drawer layout 
android 	android 
support widget 	support widget 
swipe refresh 	swipe refresh 
layout 	layout 
android support 	android support 
app action 	app action 
bar 	bar 
drawer toggle 	drawer toggle 
android support 	android support 
app 	app 
alert dialog 	alert dialog 
android support 	android support 
widget 	widget 
linear layout 	linear layout 
manager 	manager 
android support 	android support 
widget recycler 	widget recycler 
view 	view 
android support 	android support 
widget toolbar 	widget toolbar 
android 	android 
log android 	log android 
view menu 	view menu 
item 	item 
android view 	android view 
view android 	view android 
view 	view 
animation accelerate 	animation accelerate 
interpolator 	interpolator 
android view 	android view 
animation decelerate 	animation decelerate 
interpolator 	interpolator 
android widget 	android widget 
image view 	image view 
android 	android 
widget progress 	widget progress 
bar android 	bar android 
widget 	widget 
relative layout 	relative layout 
amap api 	amap api 
location 	location 
map location 	map location 
amap 	amap 
api location 	api location 
map location 	map location 
client 	client 
amap api 	amap api 
location map 	location map 
location 	location 
client option 	client option 
amap api 	amap api 
location 	location 
map location 	map location 
listener bumptech 	listener bumptech 
glide 	glide 
glide bumptech 	glide bumptech 
glide 	glide 
load engine 	load engine 
disk cache 	disk cache 
strategy 	strategy 
xiecc see 	xiecc see 
weather xiecc 	weather xiecc 
see 	see 
weather activity 	weather activity 
xiecc see 	xiecc see 
weather 	weather 
common check 	common check 
version xiecc 	version xiecc 
see 	see 
weather common 	weather common 
log 	log 
xiecc see 	xiecc see 
weather common 	weather common 
xiecc 	xiecc 
see weather 	see weather 
component retrofit 	component retrofit 
singleton 	singleton 
xiecc see 	xiecc see 
weather modules 	weather modules 
adatper 	adatper 
weather adapter 	weather adapter 
xiecc see 	xiecc see 
weather 	weather 
modules domain 	modules domain 
setting 	setting 
xiecc see 	xiecc see 
weather modules 	weather modules 
domain 	domain 
weather xiecc 	weather xiecc 
see weather 	see weather 
modules 	modules 
domain weather 	domain weather 
api xiecc 	api xiecc 
see 	see 
weather modules 	weather modules 
listener hiding 	listener hiding 
scroll 	scroll 
listener xiecc 	listener xiecc 
see 	see 
weather modules 	weather modules 
activity xiecc 	activity xiecc 
see 	see 
weather modules 	weather modules 
setting setting 	setting setting 
activity 	activity 
calendar observable 	calendar observable 
observer android 	observer android 
schedulers 	schedulers 
android schedulers 	android schedulers 
functions action 	functions action 
functions 	functions 
func schedulers 	func schedulers 
schedulers 	schedulers 
android annotation 	android annotation 
suppress lint 	suppress lint 
android 	android 
content dialog 	content dialog 
android content 	android content 
intent 	intent 
android net 	android net 
uri android 	uri android 
build 	build 
android bundle 	android bundle 
android handler 	android handler 
android 	android 
message android 	message android 
support 	support 
design widget 	design widget 
collapsing toolbar 	collapsing toolbar 
layout 	layout 
android support 	android support 
design widget 	design widget 
coordinator 	coordinator 
layout android 	layout android 
support design 	support design 
widget 	widget 
floating action 	floating action 
button android 	button android 
support 	support 
design widget 	design widget 
navigation 	navigation 
view android 	view android 
support design 	support design 
widget 	widget 
snackbar android 	snackbar android 
support content 	support content 
context 	context 
compat android 	compat android 
