abspath.c path 	adlist.c list 
files line range 	handled eat 
commit list 	quote 
count alloc alloc 	json numbers 
alloc queue 	take following 
diffs process 	form json 
files line range 	next number 
clear commit 	token uses 
line range commit 	strtod 
list append 	allows forms 
free free free 	numbers starting 
diffqueues line 	infinity infinity 
range clear commit 	hexadecimal numbers 
line range 	numbers leading 
free free free 	zeros 
diffqueues lookup 	json invalid 
line range process 	number detects 
ranges ordinary 	numbers may 
commit process ranges 	pass strtod 
merge commit 	error checking 
process ranges arbitrary 	allowed 
commit free 	strict json 
rewrite parents either 	json invalid 
initialization would 	number may 
fine dst 	pass numbers 
must uninitialized tack 	cause strtod 
range end 	generate 
could simply start 	error reject 
start types 	numbers starting 
check ranges non 	skip minus 
empty sorted 	sign exists 
non overlapping place 	reject numbers 
pass sorting 	starting 
merging ranges range 	leading zeros 
establish invariants 	hex leading 
ranges user output 	zero ordinary 
cursor range 	number reject 
sets sets line 	inf nan 
numbers used 	pass 
merge searches meet 	numbers may 
common ancestor 	still invalid 
also ranges 	strtod skip 
consolidated canonical form 	processed number 
overlapping adjacent 	fills token 
ranges merged empty 	pointer 
ranges removed 	json parse 
cannot make ranges 	temporary error 
may change 	json ptr 
grow exhausted exhausted 	pointer error 
empty range 	eat whitespace 
difference range sets 	store 
pass interesting 	location token 
ranges target side 	required throwing 
diff removes 	errors unexpected 
ranges commit responsible 	tokens syntax 
exhausted note 	errors advance 
takes ownership path 	pointer 
happens caller 	error end 
needs handy debugging 	found known 
removing silences 	single character 
unused function 	token advance 
warning given diff 	index process 
interesting ranges 	characters 
determine hunks diff 	triggered unknown 
touch overlap 	must use 
least one interesting 	strncmp match 
ranges target 	front json 
adjust line counts 	json must 
account lines 	lowercase 
added removed diff 	strict numbers 
given diff 	disabled either 
interesting ranges map 	allowed infinity 
ranges across 	since longer 
diff observe target 	following spec 
commit takes 	decode 
blame target side 	invalid numbers 
ranges every 	enabled attempt 
pair ranges diff 	process numbers 
touched latter 	know invalid 
parent side 	json inf 
shrink fit elements 	hex 
merge two 	required generate 
range sets across 	appropriate token 
files owned 	error otherwise 
pathspec stderr diff 	bad tokens 
might rename 	invalid number 
found creation diff 	token 
queued diff 	starts isn 
queue two path 	recognised function 
scan ahead 	call memory 
determine last diff 	allocated supported 
falls range 	temporary parser 
compute parent hunk 	json 
headers know 	tmp json 
diff correct line 	token exist 
numbers hunks 	stack somewhere 
suffices shift start 	lua error 
end according 	jmp release 
line numbers 	stack 
first last hunk 	note token 
fall range 	index display 
output diff hunk 	starting slots 
range needswork 	required table 
manually building diff 	key 
right thing 	handle empty 
log built diff 	objects push 
pipeline unlike 	key fetch 
functions destructively operates 	key handle 
range needswork 	context slots 
apply heuristics prevent 	required 
mismatches store 	table handle 
away diff later 	empty arrays 
output tuck 	arr handle 
ranges got input 	context lua 
since commit 	setting nil 
caused diff 	table 
needswork enough around 	hence pointer 
something interesting 	lightuserdata used 
merges currently invocation 	instead detect 
merge parent 	unicode utf 
trashes previous one 	see rfc 
diff needswork 	sec 
tramples data structures 	cjson support 
owned parent 	simple data 
take blame follow 	type hence 
path history 	first character 
needswork leaking like 	guaranteed ascii 
sieve single 	worst 
parent took blame 	still enough 
candidates loop 	detect whether 
parents needswork evil 	wrong encoding 
merge detection 	use ensure 
stuff needswork leaking 	temporary buffer 
like sieve 	hold 
line-log.h start 	entire means 
end alloc ranges 	longer need 
parent target 	length checks 
range prealloc range 	since decoded 
range start 	must smaller 
end range start 	entire 
end range 	json ensure 
next path status 	input left 
ranges arg 	initialisation compatibility 
alloc arg args 	lua lua 
pair diff 	setfuncs used 
rev prefix args 	create 
rev rev 	module table 
commit range start 	functions json 
end lines 	config first 
numbered starting ranges 	upvalue code 
include start 	borrowed lua 
exclude end ranges 	source 
ranges must 	fill table 
always disjoint 	given functions 
sorted diff encoded 	copy upvalues 
pre post 	top closure 
image ranges files 	upvalues upvalues 
differ pair 	call 
ranges corresponds hunk 	target function 
range includes 	mode supplied 
start excludes end 	args assumes 
range must 	target function 
begin end last 	returns single 
added range 	non 
place pass sorting 	nil convert 
merging ranges 	thrown errors 
range sort make 	nil error 
ranges disjoint 	message deliberately 
linked list interesting 	error invalid 
files associated 	arguments 
ranges list must 	pcall function 
kept sorted 	stored upvalue 
path simplicity 	since custom 
even though highly 	error handler 
redundant line 	remaining errors 
log data owns 	memory 
path line 	related cjson 
log line-range.c spec 	module table 
nth line 	initialise number 
data lines begin 	conversions cjson 
ret term 	module table 
line num reg 	functions 
error regexp 	config data 
match nline errbuf 	upvalue cjson 
xecfg bol 	module name 
eol buf xecfg 	version fields 
start regexp 	cjson safe 
reg error match 	module 
bol eol 	table fix 
errbuf arg 	method cjson 
nth line data 	table cjson 
lines anchor 	table cjson 
begin end path 	safe table 
pattern term 	lua 
drv xecfg start 	cmsgpackc ptr 
reg error 	len aux 
regexp errbuf bol 	test testp 
eol arg 	target osize 
nth line data 	nsize buf 
lines anchor 	buf 
begin end path 	len newsize 
tmp arg 	buf cursor 
strtol die strtol 	len buf 
die nth 	len hdr 
line regcomp regexec 	hdrlen buf 
nth line 	buf 
regfree regerror die 	enclen buf 
find func 	enclen buf 
isalpha regexec 	enclen buf 
regerror die match 	len buf 
funcname xstrndup 	buf buf 
nth line userdiff 	buf 
find path 	level buf 
xcalloc xdiff find 	level buf 
func regcomp 	level len 
regerror die find 	max stacktop 
funcname matching 	buf level 
regexp die nth 	buf 
line die 	buf level 
nth line nth 	nargs buf 
line match 	len index 
funcname regfree free 	len limit 
free parse 	offset len 
range funcname parse 	cnt 
loc parse 	decode offset 
loc parse range 	offset limit 
funcname parse 	offset argc 
loc parse 	err total 
loc parse one 	results cmds 
item option 	lua 
begin applicable relative 	getallocf local 
range anchors 	realloc realloc 
absolute anchors ignore 	realloc memcpy 
parsing parse 	realloc realloc 
loc called parsing 	buf append 
begin must 	buf 
negative number absolute 	append memcpy 
line relative 	memrevifle buf 
start range anchors 	append memcpy 
beginning file 	memrevifle buf 
represented parsing begin 	append buf 
must positive 	append 
line number immediately 	buf append 
following line 	buf append 
computed allow something 	lua tolstring 
mean starting 	encode bytes 
something lines 	lua toboolean 
something lines ending 	buf 
something could 	append lua 
regexp form scan 	tonumber lua 
interested regex 	tointeger encode 
spec term regexp 	lua tonumber 
input human 	equivalent encode 
terms determine extent 	lua 
line matched 	integer encode 
funcname line skip 	lua objlen 
range arg 	lua rawlen 
input human terms 	encode lua 
compensate numbering 	pushnumber lua 
line-range.h arg nth 	gettable 
line data 	encode lua 
lines anchor begin 	type lua 
end path 	pushnil lua 
arg parse one 	next lua 
item begin 	pop encode 
end option 	map 
notional file data 	lua pushnil 
consisting lines 	lua next 
lines nth line 	lua pushvalue 
callback used 	encode lua 
determine start line 	type encode 
lno inside 	lua 
data caller expected 	type lua 
already suitable 	gettop lua 
map hand make 	pushnil lua 
constant time 	next lua 
lookup anchor line 	pop lua 
relative range 	type 
specifications anchored absolute 	lua tonumber 
ranges unaffected 	equivalent lua 
returns success error 	isinteger lua 
actual range 	tointeger lua 
stored begin 	settop lua 
end counting starts 	settop 
error caller 	table encode 
show usage message 	lua table 
scan past 	encode lua 
range argument could 	table map 
parsed parse 	buf append 
range arg help 	lua 
caller determine 	type encode 
start filename file 	lua encode 
syntax returns 	lua encode 
pointer first character 	lua number 
part argument 	lua isinteger 
obviously malformed line 	encode 
range line 	lua integer 
bufferc buf filename 	encode lua 
buf buf 	number encode 
buf err buf 	lua table 
buf pos 	encode lua 
buf buf 	lua 
buf end buf 	pop lua 
size buf 	gettop lua 
nbytes buffer done 	argerror buf 
len buf 	lua pushvalue 
nbytes buffer done 	encode lua 
len fopen 	type 
fdopen tmpfile ferror 	lua pushlstring 
ferror fclose 	buf free 
rewind ftell error 	lua concat 
strerror fseek 	lua newtable 
error strerror ferror 	lua pushnumber 
fgetc fgets 	decode 
strlen feof strbuf 	lua type 
fread feof 	lua settable 
ferror fread fwrite 	lua newtable 
ferror buffer 	decode lua 
skip bytes feof 	type decode 
ferror fread 	lua 
licensed two 	type lua 
clause bsd style 	settable cur 
license see 	need lua 
license details read 	checkstack cur 
line without 	need lua 
trailing newline error 	pushunsigned 
data exhausted 	cur consume 
newline end file 	cur need 
fine line 	lua pushinteger 
probably saner way 	cur consume 
deal error 	cur need 
line bufferh line 	lua 
buffer infile 	pushunsigned cur 
buf filename buf 	consume cur 
buf buf 	need lua 
buf buf buf 	pushinteger cur 
buf buf 	consume cur 
buf len buf 	need 
len buf 	lua pushunsigned 
len prepare 	cur consume 
write returns number 	cur need 
bytes read 	lua pushinteger 
necessarily written list-objects.c 	cur consume 
revs blob 	cur 
show path name 	need lua 
data obj 	pushunsigned cur 
pathlen revs sha 	consume cur 
show path 	need lua 
name data revs 	pushnumber lua 
show name 	pushinteger 
data obj desc 	cur consume 
entry baselen 	lua pushnil 
commit revs show 	cur consume 
edge parents 	lua pushboolean 
parent revs show 	cur consume 
edge list 	lua 
commit obj 	pushboolean cur 
commit revs revs 	consume cur 
show commit 	need cur 
show data commit 	need memcpy 
pending obj 	memrevifle lua 
name path die 	pushnumber 
strbuf addstr 	cur consume 
show strbuf setlen 	cur need 
die parse 	cur need 
gently die oid 	lua pushlstring 
hex strbuf 	cur consume 
addstr show strbuf 	cur 
addch init 	need cur 
desc entry entry 	need lua 
interesting isdir 	pushlstring cur 
process lookup isgitlink 	consume cur 
process gitlink 	need cur 
process blob lookup 	consume 
blob strbuf 	cur need 
setlen free 	lua pushlstring 
buffer mark uninteresting 	cur consume 
show edge 	cur need 
mark uninteresting show 	cur consume 
edge mark 	decode 
edge parents uninteresting 	lua cur 
mark uninteresting 	need cur 
show edge pending 	consume decode 
strbuf init 	lua cur 
revision pending show 	need cur 
commit show 	consume 
process process blob 	decode lua 
die oid 	hash cur 
hex clear strbuf 	need cur 
release processing 	consume decode 
gitlink entry currently 	lua hash 
nothing since 	lua 
recurse subproject could 	pushunsigned cur 
eventually flag 	consume lua 
actually would 	pushinteger cur 
involve subproject actually 	consume cur 
see subproject 	need lua 
already added alternates 	pushlstring 
list process 	cur consume 
commit tag gitlink 	cur consume 
points recursively 	decode lua 
however unclear whether 	cur consume 
really ever 	decode lua 
reason see superprojects 	hash 
subprojects unified 	lua checklstring 
pool potentially resulting 	lua error 
totally humongous 	lua error 
pack avoiding whole 	cur init 
point gitlinks 	decode lua 
first place note 	type 
could follow 	lua error 
link whether necessarily 	lua error 
makes sense 	lua pushinteger 
ever ever 	lua insert 
another issue nothing 	unpack full 
uninteresting boundary 	lua 
commit may parsed 	optinteger lua 
yet going 	pop lua 
show anyway list-objects.h 	gettop unpack 
rev info 	full lua 
rev info ll-merge.c 	checkinteger lua 
name description 	optinteger 
recursive next cmdline 	lua pop 
drv unused 	lua gettop 
result path orig 	unpack full 
orig name 	lua gettop 
src name src 	lua pushvalue 
name opts 	lua 
marker size stolen 	upvalueindex lua 
drv unused 	insert lua 
result path 	pcall lua 
orig orig name 	gettop lua 
src name 	pushnil lua 
src name opts 	insert 
marker size 	lua newtable 
xmp drv unused 	lua pushcfunction 
result path 	lua setfield 
unused orig orig 	lua pushliteral 
name src 	lua setfield 
name src name 	lua 
opts marker 	pushliteral lua 
size merge drv 	setfield lua 
src path 	pushliteral lua 
len result path 	setfield lua 
orig orig 	pushliteral lua 
name src name 	setfield 
src name 	luaopen create 
opts marker size 	lua pushvalue 
temp cmd 	lua setglobal 
dict path 	luaopen cmsgpack 
args status user 	lua getfield 
merge user 	lua 
merge tail merge 	pushcclosure lua 
key name 	setfield lua 
namelen merge attr 	pushvalue lua 
name path 	setglobal allows 
check path strbuf 	preprocessor directive 
result buf 	max 
path ancestor ancestor 	nesting max 
label label 	tables nesting 
label opts check 	check integer 
opts driver 	without loss 
name marker size 	precision size 
driver path 	pointer 
check marker size 	equal integer 
warning buffer 	bits message 
binary buffer binary 	pack implementation 
buffer binary 	bindings lua 
binary merge 	copyright salvatore 
memset xdl merge 	sanfilippo 
xdl merge 	antirez gmail 
xsnprintf xmkstemp write 	http github 
full die 	antirez lua 
errno close quote 	cmsgpack message 
buf die 	pack specification 
create temp create 	check 
temp create 	following web 
temp xsnprintf strbuf 	site http 
expand run 	wiki msgpack 
command opt open 	display msgpack 
fstat xmallocz 	format specification 
read full free 	see 
close unlink 	copyright notice 
warn strbuf release 	end file 
strbuf release 	changelog feb 
strcmp git config 	ver initial 
parse config 	release feb 
key strncmp 	ver 
xcalloc xmemdupz strcmp 	tables encoding 
git config 	improved feb 
strcmp error xstrdup 	ver minor 
strcmp git 	bug fixing 
config git config 	feb ver 
initialize merge 	module 
attr attr attr 	renamed lua 
unset strcmp 	cmsgpack lua 
size strcmp git 	msgpack apr 
attr git 	ver lua 
attr git check 	support minor 
attr renormalize 	bug 
buffer free strbuf 	fix apr 
detach normalize 	ver multiple 
file normalize file 	pack unpack 
normalize file 	lua allocator 
git path check 	efficiency endian 
merge atoi 	conversion 
find merge 	use floats 
driver find merge 	doubles conversions 
driver git 	performed endian 
attr git check 	independent fashion 
attr atoi 	thing need 
low level way 	function 
core file 	swaps binary 
merge copyright junio 	arch little 
hamano built 	endian left 
low levels tentative 	untouched otherwise 
merge result 	reverse memory 
common ancestor merge 	bytes 
fallthru xtheirs 	arch little 
xours cleanly merged 	endian given 
otherwise got 	conceptual simplicity 
conflict use favor 	lua build 
user defined 	system prefer 
low level 	check 
merge driver support 	endianess runtime 
merge merge 	performance difference 
driver configuration items 	acceptable big 
interested anything 	endian nothing 
merge name variable 	buffer simple 
especially want 	implementation 
look variables merge 	buffers operation 
summary merge 	supported creating 
tool merge verbosity 	empty buffers 
find existing 	appending bytes 
one might processing 	buffer uses 
merge name 	preallocation 
seeing merge name 	every realloc 
merge name 	append behavior 
driver specifies command 	old size 
line command 	size buf 
line command line 	realloc 
interpolated following 	free cursor 
tokens given 	simple data 
shell temporary file 	structure used 
name merge 	parsing basically 
temporary file name 	create cursor 
version temporary 	pointer 
file name branches 	length possible 
version conflict 	access current 
marker length original 	position cursor 
path safely 	check remaining 
quoted shell external 	length cursor 
merge driver 	left 
write results file 	consume cur 
named signal 	consume cursor 
done zero exit 	len advance 
status way 	subtract left 
ll-merge.h xdl opts 	additional field 
result buf 	cursor 
path ancestor ancestor 	error zero 
label label 	initialization used 
label opts 	report errors 
path low level 	enough data 
way core 	complete operation 
file merge favor 	bad 
favor merge 	data format 
lockfile.c path path 	enough room 
depth link 	error cursor 
path flags filename 	common across 
path flags 	code macro 
timeout multiplier remaining 	make 
random initialized 	code look 
backoff wait path 	bit simpler 
err buf 	low level 
path err buf 	encoding fix 
path flags 	raw ieee 
timeout ret result 	format 
path save 	single precision 
errno strbuf setlen 	floats ieee 
strbuf readlink 	ieee positive 
absolute path 	fixnum negative 
strbuf reset trim 	fixnum fix 
last path 	fix 
component strbuf addbuf 	map map 
strbuf reset 	map lua 
strbuf addstr resolve 	types encoding 
symlink strbuf 	lua built 
addstr create tempfile 	bit integer 
strbuf release 	type 
file srand getpid 	lua lower 
file rand 	bit doubles 
sleep millisec strbuf 	need detect 
addf absolute 	may representable 
path strerror strbuf 	lua convert 
addf absolute 	lua 
path strerror unable 	table message 
message die 	pack list 
file timeout 	convert lua 
unable die strbuf 	table message 
addstr tempfile 	pack key 
path strcmp die 	map 
strbuf setlen 	first step 
strbuf detach locked 	count keys 
file path 	table way 
commit file free 	lua api 
free copyright 	need iterate 
junio hamano path 	first 
absolute relative 	time note 
path name last 	alternative would 
path name 	single run 
element path leaving 	hack buffer 
preceding path 	insert map 
empty root directory 	opcodes 
path empty 	message pack 
back past trailing 	hackish lib 
slashes backwards 	keep key 
slash beginning 	next iteration 
allow recursive symbolic 	step two 
links within 	actually 
reason though path 	encoding map 
contains path 	stack key 
might symlink path 	stack key 
symlink attempt 	key encode 
overwrite path real 	key encode 
file directory 	val 
may may exist 	returns lua 
following chain 	table top 
symlinks necessary otherwise 	stack exclusively 
path unmodified 	composed keys 
best effort routine 	numerical keys 
error occurs 	total 
path either left 	number elements 
unmodified name 	without hole 
different symlink symlink 	middle stack 
chain started 	top function 
original path 	entry stack 
absolute path simply 	key 
replaces link 	stack key 
relative path replace 	check valid 
last element 	comparing indexes 
make sure errno 	total number 
contains meaningful 	elements count 
error constants defining 	also 
gaps attempts 	max index 
file first backoff 	encountered max 
period approximately 	reach code 
initial backoff milliseconds 	indexes also 
longest backoff 	note repeated 
period approximately backoff 	keys 
max multiplier 	table max 
initial backoff milliseconds 	count sure 
locking path 	keys form 
retrying quadratic backoff 	count included 
least timeout 	length returns 
milliseconds timeout 	non 
locking file exactly 	zero least 
timeout indefinitely 	key serialize 
success failure held 	message pack 
failure due 	list otherwise 
timeout back backoff 	use map 
backoff recursion 	limit 
meaningful errno failure 	encoding nested 
lockfile.h tempfile 	tables specified 
path flags timeout 	maximum depth 
path flags 	survive called 
path err buf 	circular references 
path err 	tables 
mode path hold 	packs arguments 
file update 	stream multiple 
timeout fdopen tempfile 	upacking later 
tempfile path 	returns error 
tempfile tempfile 	arguments provided 
close tempfile reopen 	copy 
tempfile rename 	argument top 
tempfile tempfile file 	stack encode 
write locks 	processing encode 
used git lockfile 	function pops 
api serves 	stack complete 
two purposes mutual 	reuse 
exclusion atomic 	buffer next 
file updates want 	operation setting 
change file 	free count 
create lockfile filename 	total buffer 
write file 	size current 
contents rename lockfile 	position 
destination filename 	zero concatenate 
create filename file 	nargs buffers 
creat excl 	together decoding 
notice fail somebody 	key decode 
already locked 	message pack 
file atomically 	raw 
rename lockfile destination 	pointed cursor 
commit changes 	lua type 
unlock file automatic 	left result 
cruft removal 	stack elements 
program exits file 	must resize 
changes committed 	stack 
want make sure 	fit values 
lockfile done 	way determine 
remembering lockfiles created 	many objects 
linked list 	msgpack unpack 
setting atexit handler 	front request 
signal handler 	larger 
clean lockfiles mechanism 	stack iteration 
ensures outstanding 	stack big 
lockfiles cleaned program 	enough stack 
exits including 	require resize 
die called program 	doubles size 
terminated signal 	nil 
please note 	raw raw 
lockfiles block writers 	raw map 
readers block 	map types 
guaranteed see either 	idenitified first 
old contents 	positive fixnum 
file contents file 	negative 
assuming filesystem 	fixnum fix 
rename atomically heavy 	raw fix 
lifting done 	map fix 
tempfile module see 	map number 
tempfile calling 	objects unpacked 
sequence caller allocates 	match 
file either 	exits requesting 
variable heap initialized 	negative lim 
zeros use 	invalid loop 
structure call hold 	decode could 
file family 	stream multiple 
functions belongs lockfile 	top 
subsystem storage 	level values 
must remain 	serialized together 
valid throughout life 	left remaining 
program cannot 	size input 
use stack variable 	buffer subtract 
hold structure 	entire 
attempts create lockfile 	buffer size 
calling hold 	unprocessed size 
file update writes 	next start 
content destination 	offset offset 
file either writing 	processed entire 
file descriptor 	buffer 
returned hold file 	results returned 
functions also 	arg elements 
available via calling 	still place 
fdopen file 	lua takes 
file pointer open 	care returning 
file writing 	elements 
file stdio finished 	args one 
writing caller 	arg stack 
close file 	function insert 
descriptor rename lockfile 	first position 
destination calling 	increase count 
commit file commit 	one 
file close 	make room 
file descriptor lockfile 	offset variable 
calling rollback 	pop offset 
file close file 	may exist 
descriptor without 	variable pop 
removing renaming lockfile 	offset 
calling close 	may exist 
file later call 	adds function 
commit file 	bottom stack 
commit file rollback 	call function 
file reopen 	position manually 
file even lockfile 	construct 
committed rolled 	module table 
back file 	instead relying 
must freed altered 	newlib metadata 
caller however 	name globally 
may reused pass 	wrap functions 
another call 	safe 
hold file update 	handler name 
program exits 	globally copyright 
commit file commit 	salvatore sanfilippo 
file rollback 	rights reserved 
file called tempfile 	permission hereby 
module close 	granted 
lockfile thereby rolling 	free charge 
back uncommitted 	person obtaining 
changes need close 	copy software 
file descriptor 	associated documentation 
obtained hold file 	files software 
function calling 	deal 
close file see 	software without 
tempfile information 	restriction including 
covers lockfile 	without limitation 
tempfile helper functions 	rights use 
particular state 	copy modify 
diagram cleanup machinery 	merge 
implemented tempfile 	publish distribute 
module error handling 	sublicense sell 
hold file 	copies software 
functions file descriptor 	permit persons 
success failure 	software furnished 
unless die error 	subject 
used see 	following conditions 
flags errors errno 	copyright notice 
describes reason 	permission notice 
failure errors reported 	shall included 
passing errno 	copies substantial 
unable message unable 	portions 
die similarly 	software software 
commit file commit 	provided without 
file close 	warranty kind 
file success 	express implied 
failure errno appropriately 	including limited 
best roll 	warranties 
back lockfile appended 	merchantability fitness 
filename derive 	particular purpose 
lockfile name flags 	noninfringement shall 
following flags 	authors copyright 
passed hold file 	holders liable 
update already 	claim 
taken file die 	damages liability 
error message 	whether action 
flag specified trying 	contract tort 
file already 	otherwise arising 
locked returns caller 	connection software 
usually symbolic 	use 
links destination path 	dealings software 
resolved means 	lua structc 
lockfile created adding 	dummy endian 
resolved path 	fmt opt 
upon commit 	fmt len 
resolved path overwritten 	opt 
however deref 	size opt 
lockfile created adding 	fmt msg 
path argument 	arg endian 
option used example 	size buff 
detaching symbolic 	size endian 
reference backwards compatibility 	temp 
reasons symbolic 	fmt arg 
link containing name 	totalsize opt 
referred reference 	size toalign 
attempt create lockfile 	buff endian 
file path 	issigned size 
file descriptor writing 	mask 
error file 	fmt data 
currently locked retry 	pos opt 
quadratic backoff 	size issigned 
least timeout 	res fmt 
milliseconds timeout exactly 	pos opt 
timeout retry 	size 
indefinitely flags argument 	thislib isdigit 
error handling 	isdigit lua 
described attempt create 	error getnum 
lockfile file 	getnum lua 
path file descriptor 	error getnum 
writing error 	isp 
flags argument error 	lua error 
handling described 	lua pushfstring 
append appropriate error 	lua argerror 
message buf 	lua checknumber 
following failure hold 	lua addlstring 
file update 	lua 
path err errno 	checkstring defaultoptions 
failing call 	lua pushnil 
emit appropriate error 	lua buffinit 
message die 	optsize gettoalign 
following failure 	lua addchar 
hold file update 	putinteger 
path err 	lua addchar 
errno failing call 	lua checknumber 
associate stdio 	correctbytes lua 
stream lockfile must 	addlstring lua 
still open 	checknumber correctbytes 
without rolling back 	lua 
lockfile error 	addlstring lua 
stream closed automatically 	checklstring lua 
close file 	argcheck lua 
called file committed 	addlstring lua 
rolled back 	addchar controloptions 
path lockfile pointer 	lua 
field within 	pushresult uinttype 
file freed path 	lua checkstring 
file locked 	lua checklstring 
specified file caller 	lua optinteger 
must free 	defaultoptions lua 
memory lockfile 	settop 
still open close 	optsize gettoalign 
file pointer 	lua argcheck 
opened fdopen file 	lua checkstack 
without renaming 	islower getinteger 
lockfile file locked 	lua pushnumber 
upon success 	memcpy 
failure close negative 	correctbytes lua 
roll back 	pushnumber memcpy 
file usually commit 	correctbytes lua 
file commit 	pushnumber lua 
file rollback file 	isnumber lua 
eventually called 	error 
close file succeeds 	lua tonumber 
open lockfile 	lua pop 
closed close file 	lua argcheck 
yet committed 	lua pushlstring 
rolled back used 	memchr lua 
implement sequence 	error 
operations like 	lua pushlstring 
following file write 	controloptions lua 
contents lockfile 	pushinteger lua 
close file cause 	gettop lua 
contents written 	checkstring defaultoptions 
disk pass name 	optsize 
lockfile another 	gettoalign lua 
program allow nobody 	argerror lua 
inspect contents 	argerror isalnum 
wrote still holding 	controloptions lua 
reopen file 	pushinteger lua 
reopen lockfile make 	library 
updates contents 	packing unpacking 
commit file make 	structures roberto 
version permanent 	exp see 
commit change represented 	copyright notice 
close file 	end file 
descriptor file 	valid 
pointer still open 	formats big 
rename lockfile 	endian little 
destination upon success 	endian num 
failure roll 	alignment pading 
back file errno 	size integer 
failing call 	size 
close rename bug 	size sequence 
call commit 	chars packing 
file file currently 	means whole 
locked like 	unpacking means 
commit file rename 	use previous 
lockfile provided 	read 
path path must 	number length 
filesystem file 	zero terminated 
roll back close 	ignored basic 
file descriptor 	integer type 
file pointer lockfile 	corresponding version 
call rollback 	maximum 
file file 	size bytes 
already committed rolled 	integral types 
back lockfile 	power dummy 
log-tree.c name decoration 	structure alignment 
decoration loaded 	requirements endian 
decoration flags decoration 	options 
colors decorate 	number cases 
color slot slot 	need alignment 
name slot 	number bytes 
name decoration obj 	needed align 
refname oid 	element size 
flags data obj 	size 
original oid 	current position 
graft data commit 	len respect 
flags commit 	max alignment 
abbrev parent opt 	options control 
commit abbrev 	endianess alignment 
decoration list head 	ignore 
branch name 	white spaces 
unused rru 	mark separate 
flags decoration commit 	arguments buffer 
use color 	integer types 
prefix separator suffix 	zero end 
decoration current 	format 
head color commit 	negative signal 
color reset 	extension integer 
opt commit number 	types copyright 
result filename 	lua puc 
subject info suffix 	rio rights 
start len 	reserved 
max len filename 	permission hereby 
commit info 	granted free 
ctx subject opt 	charge person 
commit subject 	obtaining copy 
extra headers need 	software associated 
bit cte 	documentation 
subject extra headers 	files software 
name buffer 	deal software 
buffer subject 	without restriction 
buffer buffer filename 	including without 
opt status 	limitation 
bol color reset 	rights use 
eol opt 	copy modify 
commit payload signature 	merge publish 
gpg output 	distribute sublicense 
status sha commit 	sell copies 
nth parent 	software 
commit commit extra 	permit persons 
data opt 	software furnished 
sha tag verify 	subject following 
message status 	conditions copyright 
nth payload size 	notice permission 
gpg message 	notice 
offset opt commit 	shall included 
opt msgbuf 	copies substantial 
log parent abbrev 	portions software 
commit extra 	software provided 
headers ctx 	without warranty 
raw notebuf opt 	kind 
saved fmt 	express implied 
pch msg opt 	including limited 
commit opt 	warranties merchantability 
commit log showed 	fitness particular 
log parents 	purpose noninfringement 
oid parent opt 	shall 
commit log 	authors copyright 
shown strcasecmp strcasecmp 	holders liable 
strcasecmp strcasecmp 	claim damages 
strcasecmp parse decorate 	liability whether 
color slot 	action contract 
config error nonbool 	tort 
color parse 	otherwise arising 
lookup decoration starts 	connection software 
oid hex 	use dealings 
strlen warning 	software lundump.c 
parse name decoration 	size size 
parse starts 	buff 
starts starts strcmp 	name lua 
strcmp name 	pushfstring lua 
decoration parse name 	lua read 
decoration lookup 	load load 
commit name decoration 	load load 
head commit 	lua 
graft find unique 	openspace load 
abbrev lookup 	block lua 
decoration find unique 	newlstr load 
abbrev resolve 	lua newvector 
starts strcmp strbuf 	load vector 
addstr prettify 	load 
refname strbuf addstr 	lua newvector 
diff color 	setnilvalue load 
decorate color name 	setnilvalue setbvalue 
decoration current 	load setnvalue 
pointed head 	load number 
strbuf addstr strbuf 	setsvalue 
addstr strbuf 	load error 
addstr strbuf addstr 	load lua 
decorate color 	newvector load 
strbuf addstr show 	function load 
name strbuf 	lua newvector 
addstr strbuf addstr 	load 
strbuf addstr 	vector load 
strbuf addstr strbuf 	lua newvector 
addstr decorate 	load load 
color show name 	load load 
strbuf addstr 	lua newvector 
strbuf addstr strbuf 	load 
addstr strbuf 	error lua 
addstr format decorations 	newproto setptvalue 
fputs strbuf 	incr top 
release strlen strbuf 	load load 
addf strbuf 	load load 
addf strbuf 	load 
setlen strbuf addstr 	load load 
format commit 	load code 
message fmt output 	load constants 
subject strbuf 	load debug 
release oid hex 	lua checkcode 
snprintf digits 	lua 
number snprintf graph 	header load 
show oneline 	block memcmp 
graph show oneline 	load header 
graph show 	load function 
oneline snprintf strbuf 	lua newliteral 
addf fmt 	memcpy 
output commit snprintf 	lundump roberto 
strbuf release 	exp load 
diff color opt 	precompiled lua 
diff color 	chunks see 
opt strchrnul graph 	copyright notice 
show oneline 	lua 
parse commit 	trailing load 
verify buffer strbuf 	precompiled chunk 
addstr show 	make header 
sig lines strbuf 	endianness lua 
release strbuf 	number integral 
release strbuf release 	lundump.h 
hashcmp hash 	buff name 
sha file lookup 	data strip 
tag strbuf 	full lundump 
init parse tag 	roberto exp 
buffer strbuf 	load precompiled 
addstr common merge 	lua 
oidcmp strbuf 	chunks see 
addf parent strbuf 	copyright notice 
addf strbuf 	lua load 
addf parse signature 	one chunk 
verify buffer 	lundump make 
strbuf addstr 	header 
show sig lines 	lundump dump 
strbuf release 	one chunk 
mergetag graph show 	ldump print 
commit put 	one chunk 
revision mark fputs 	print header 
find unique 	binary 
