adlist.c list 	AboutActivity.java saved 
room 	decelerate interpolator 
writes something 	android 
end current 	widget image 
needs length 	view android 
note possible 	widget 
use negative 	progress bar 
increment 	android widget 
order right 	relative 
trim usage 	layout amap 
example sds 	api 
incr len 	location map 
sds make 	location amap 
room 	api 
possible mount 	location map 
following schema 	location client 
cat bytes 	amap 
coming kernel 	api location 
end sds 	map location 
without 	client 
copying intermediate 	option amap 
buffer oldlen 	api location 
sdslen sds 	map 
make room 	location listener 
buffer size 	bumptech 
nread 	glide glide 
read oldlen 	bumptech glide 
buffer size 	load 
check nread 	engine disk 
handle sds 	cache strategy 
incr len 	xiecc 
nread 	see weather 
avoid compilation 	xiecc see 
warnings grow 	weather 
sds specified 	activity xiecc 
length bytes 	see weather 
part original 	common 
length 	check version 
sds zero 	xiecc 
specified length 	see weather 
smaller current 	common log 
length operation 	xiecc 
performed make 	see weather 
sure 	common xiecc 
added region 	see 
doesn contain 	weather component 
garbage also 	retrofit singleton 
trailing append 	xiecc 
specified binary 	see weather 
safe 	modules adatper 
pointed len 	weather 
bytes end 	adapter xiecc 
specified sds 	see 
call passed 	weather modules 
sds longer 	domain setting 
valid 	xiecc 
references must 	see weather 
substituted pointer 	modules domain 
returned call 	weather 
append specified 	xiecc see 
termianted sds 	weather modules 
call 	domain 
passed sds 	weather api 
longer valid 	xiecc see 
references must 	weather 
substituted pointer 	modules listener 
returned call 	hiding 
append 	scroll listener 
specified sds 	xiecc see 
existing sds 	weather 
call modified 	modules activity 
sds longer 	xiecc see 
valid references 	weather 
must 	modules setting 
substituted pointer 	setting activity 
returned call 	calendar 
destructively modify 	observable observer 
sds hold 	android schedulers 
specified binary 	android 
safe 	schedulers functions 
pointed length 	action 
len bytes 	functions func 
like sdscpylen 	schedulers schedulers 
must termined 	android 
length obtained 	annotation suppress 
strlen 	lint android 
helper sdscatlonglong 	content 
actual number 	dialog android 
conversion must 	content intent 
point room 	android 
least sds 	net uri 
llstr 	android build 
size bytes 	android 
function returns 	bundle android 
length terminated 	handler 
representation stored 	android message 
generate representation 	android support 
method 	design 
produces reversed 	widget collapsing 
compute length 	toolbar layout 
term reverse 	android 
identical sdsll 	support design 
str 	widget coordinator 
type generate 	layout 
representation method 	android support 
produces reversed 	design widget 
compute length 	floating 
term reverse 	action button 
create 	android 
sds much 	support design 
faster sdscatprintf 	widget navigation 
sdsempty lld 	view 
like sdscatprintf 	android support 
gets list 	design widget 
instead 	snackbar 
variadic start 	android support 
buffer speed 	content context 
possible revert 	compat 
heap allocation 	android support 
buffers two 	view gravity 
times 	compat 
bigger every 	android support 
time fail 	widget 
fit current 	drawer layout 
buffer size 	android support 
concat obtained 	widget 
sds 	swipe refresh 
append sds 	layout android 
obtained alike 	support 
format specifier 	app action 
call modified 	bar drawer 
sds longer 	toggle 
valid 	android support 
references must 	app alert 
substituted pointer 	dialog 
returned call 	android support 
example sdsnew 	widget 
sum sdscatprintf 	linear layout 
often 	manager android 
need create 	support 
scratch alike 	widget recycler 
format need 	view android 
use sdsempty 	support 
target sdscatprintf 	widget toolbar 
sdsempty 	android log 
format args 	android 
function similar 	view menu 
sdscatprintf much 	item android 
faster rely 	view 
sprintf family 	view android 
functions 	view 
implemented libc 	animation accelerate 
often slow 	interpolator android 
moreover directly 	view 
handling sds 	animation decelerate 
data concatenated 	interpolator android 
provides 	widget 
performance improvement 	image view 
however function 	android widget 
handles incompatible 	progress 
subset alike 	bar android 
format specifiers 	widget relative 
sds 	layout 
bit integer 	amap api 
bit integer 	location 
verbatim character 	map location 
next format 	amap api 
specifier process 	location 
position 	map location 
next write 	client amap 
dest str 	api 
make sure 	location map 
always space 	location client 
least handle 	option 
generally 	amap api 
unknown term 	location map 
part left 	location 
right composed 	listener bumptech 
contiguous characters 	glide 
found cset 	glide bumptech 
terminted 	glide load 
call modified 	engine 
sds longer 	disk cache 
valid references 	strategy xiecc 
must substituted 	see 
pointer returned 	weather xiecc 
call 	see weather 
example sdsnew 	activity 
hello world 	xiecc see 
sdstrim output 	weather common 
hello world 	check 
turn smaller 	version xiecc 
equal 	see 
containing substring 	weather common 
specified start 	log xiecc 
end indexes 	see 
start end 	weather common 
negative means 	xiecc see 
last 	weather 
character penultimate 	component retrofit 
character forth 	singleton xiecc 
interval inclusive 	see 
start end 	weather modules 
characters part 	adatper weather 
resulting 	adapter 
modified place 	xiecc see 
example sdsnew 	weather 
hello world 	modules domain 
sdsrange ello 	setting xiecc 
world apply 	see 
tolower 	weather modules 
every character 	domain weather 
sds apply 	xiecc 
toupper every 	see weather 
character sds 	modules domain 
compare two 	weather 
sds 	api xiecc 
memcmp positive 	see weather 
negative exactly 	modules 
binary two 	listener hiding 
share exactly 	scroll 
prefix one 	listener xiecc 
two 	see weather 
additional characters 	modules 
longer considered 	activity xiecc 
greater smaller 	see weather 
one split 	modules 
separator sep 	setting setting 
sds 	activity calendar 
returned count 	observable 
reference number 	observer android 
tokens returned 	schedulers 
memory zero 	android schedulers 
length zero 	functions action 
length 	functions 
separator returned 	func schedulers 
note sep 	schedulers android 
able split 	annotation 
multi character 	suppress lint 
separator example 	android content 
sdssplit 	dialog 
foo bar 	android content 
two elements 	intent android 
foo bar 	net 
version function 	uri android 
binary safe 	build 
requires 	android bundle 
length arguments 	android handler 
sdssplit function 	android 
zero terminated 	message android 
make sure 	support design 
room next 	widget 
element 	collapsing toolbar 
one search 	layout android 
separator skip 	support 
separator element 	design widget 
sure room 	coordinator layout 
tokens free 	android 
result 	support design 
returned sdssplitlen 	widget 
nothing tokens 	floating action 
append sds 	button android 
escaped representation 	support 
non printable 	design widget 
characters 	navigation view 
tested isprint 	android 
turned escapes 	support design 
form hex 	widget snackbar 
number call 	android 
modified sds 	support content 
longer 	context compat 
valid references 	android 
must substituted 	support view 
pointer returned 	gravity 
call helper 	compat android 
function sdssplitargs 	support widget 
returns 	drawer 
non zero 	layout android 
valid hex 	support widget 
digit helper 	swipe 
function sdssplitargs 	refresh layout 
converts hex 	android support 
digit 	app 
integer split 	action bar 
line arguments 	drawer toggle 
every argument 	android 
following programming 	support app 
language repl 	alert 
alike 	dialog android 
form foo 	support widget 
bar newline 	linear 
supported xff 	layout manager 
otherstuff number 	android support 
arguments stored 	widget 
argc 	recycler view 
sds returned 	android support 
caller free 	widget 
resulting sds 	toolbar android 
sdsfreesplitres note 	log android 
sdscatrepr able 	view 
convert 	menu item 
back quoted 	android 
format sdssplitargs 	view view 
able parse 	android view 
function returns 	animation 
allocated tokens 	accelerate interpolator 
success 	android view 
even input 	animation 
empty input 	decelerate interpolator 
contains unbalanced 	android widget 
quotes closed 	image 
quotes followed 	view android 
non 	widget progress 
space characters 	bar 
foo bar 	android widget 
foo skip 	relative 
blanks token 	layout amap 
quotes single 	api location 
quotes 	map 
closing quote 	location amap 
must followed 	api location 
space nothing 	map 
unterminated quotes 	location client 
closing quote 	amap api 
must 	location 
followed space 	map location 
nothing unterminated 	client option 
quotes token 	amap 
vector even 	api location 
empty input 	map 
something 	location listener 
modify substituting 	bumptech glide 
occurrences characters 	glide 
specified corresponding 	bumptech glide 
character instance 	load engine 
sdsmapchars mystring 	disk 
effect 	cache strategy 
turning hello 	xiecc see 
ell function 	weather 
returns sds 	xiecc see 
pointer always 	weather activity 
input pointer 	xiecc 
since 	see weather 
resize needed 	common 
specified separator 	check version 
also returns 	xiecc see 
result sds 	weather 
like sdsjoin 	common log 
joins 	xiecc see 
sds wrappers 	weather 
allocators used 	common xiecc 
sds note 	see weather 
sds actually 	component 
use macros 	retrofit singleton 
defined 	xiecc see 
sdsalloc order 	weather 
avoid pay 	modules adatper 
overhead function 	weather 
calls define 	adapter xiecc 
wrappers programs 	see weather 
sds 	modules 
linked want 	domain setting 
touch sds 	xiecc see 
internals even 	weather 
use different 	modules domain 
allocator run 	weather xiecc 
test 	see 
times order 	weather modules 
hit first 	domain weather 
two sds 	api 
header types 	xiecc see 
sds lib 	weather 
library 	modules listener 
copyright salvatore 	hiding scroll 
sanfilippo antirez 	listener 
gmail dot 	xiecc see 
copyright oran 	weather modules 
agra copyright 	activity 
redis 	xiecc see 
labs inc 	weather modules 
rights reserved 	setting 
redistribution use 	setting activity 
source binary 	calendar observable 
forms without 	observer 
modification 	android schedulers 
permitted provided 	android 
following conditions 	schedulers functions 
met redistributions 	action functions 
source code 	func 
must retain 	schedulers schedulers 
copyright 	android annotation 
notice list 	suppress 
conditions following 	lint android 
disclaimer redistributions 	content dialog 
binary form 	android 
must reproduce 	content intent 
copyright 	android net 
notice list 	uri 
conditions following 	android build 
disclaimer documentation 	android 
materials provided 	bundle android 
distribution neither 	handler android 
name 	message 
redis names 	android support 
contributors may 	design widget 
used endorse 	collapsing 
promote products 	toolbar layout 
derived software 	android support 
without 	design 
specific prior 	widget coordinator 
written permission 	layout android 
software provided 	support 
copyright holders 	design widget 
contributors express 	floating 
implied 	action button 
warranties including 	android support 
limited implied 	design 
warranties merchantability 	widget navigation 
fitness particular 	view android 
purpose disclaimed 	support 
shall 	design widget 
copyright owner 	snackbar android 
contributors liable 	support 
direct indirect 	content context 
incidental special 	compat android 
exemplary consequential 	support 
damages 	view gravity 
including limited 	compat 
procurement substitute 	android support 
goods services 	widget drawer 
loss use 	layout 
data profits 	android support 
business 	widget swipe 
interruption however 	refresh 
caused theory 	layout android 
liability whether 	support app 
contract strict 	action 
liability tort 	bar drawer 
including 	toggle android 
negligence otherwise 	support 
arising way 	app alert 
use software 	dialog 
even advised 	android support 
possibility damage 	widget linear 
create 	layout 
sds content 	manager android 
specified init 	support widget 
pointer initlen 	recycler 
used init 	view android 
initialized zero 	support widget 
bytes 	toolbar 
always termined 	android log 
sds always 	android view 
even create 	menu 
sds mystring 	item android 
sdsnewlen abc 	view 
print 	view android 
end however 	view animation 
binary safe 	accelerate 
contain characters 	interpolator android 
middle length 	view animation 
stored sds 	decelerate 
header 	interpolator android 
empty usually 	widget image 
created order 	view 
append use 	android widget 
type since 	progress bar 
type good 	android 
flags 	widget relative 
pointer create 	layout 
empty zero 	amap api 
length sds 	location map 
even always 	location 
term create 	amap api 
sds 	location map 
starting terminated 	location 
duplicate sds 	client amap 
free sds 	api location 
operation performed 	map 
sds length 	location client 
length 	option amap 
obtained strlen 	api 
considering content 	location map 
first term 	location 
character function 	listener bumptech 
useful sds 	glide glide 
hacked 	bumptech 
manually way 	glide load 
like following 	engine disk 
example sdsnew 	cache 
foobar sdsupdatelen 	strategy xiecc 
sdslen output 	see weather 
comment 	xiecc 
call sdsupdatelen 	see weather 
output modified 	activity xiecc 
logical length 	see 
remains bytes 	weather common 
modify sds 	check 
place 	version xiecc 
make empty 	see weather 
zero length 	common 
however existing 	log xiecc 
buffer discarded 	see weather 
free space 	common 
next 	xiecc see 
append operations 	weather component 
require allocations 	retrofit 
number bytes 	singleton xiecc 
previously available 	see weather 
enlarge free 	modules 
space 	adatper weather 
end sds 	adapter 
caller sure 	xiecc see 
calling function 	weather modules 
overwrite addlen 	domain 
bytes end 	setting xiecc 
plus 	see weather 
one nul 	modules 
term note 	domain weather 
change length 	xiecc see 
sds returned 	weather 
sdslen free 	modules domain 
buffer 	weather api 
space asap 	xiecc 
enough space 	see weather 
left use 	modules 
type user 	listener hiding 
appending type 	scroll listener 
able 	xiecc 
remember empty 	see weather 
space sds 	modules activity 
make room 	xiecc 
must called 	see weather 
every appending 	modules setting 
operation 	setting 
since header 	activity calendar 
size changes 	observable 
need move 	observer android 
forward use 	schedulers android 
realloc 	schedulers 
reallocate sds 	functions action 
free space 	functions func 
end contained 	schedulers 
remains altered 	schedulers android 
next concatenation 	annotation suppress 
operations 	lint 
require reallocation 	android content 
call passed 	dialog android 
sds longer 	content 
valid references 	intent android 
must substituted 	net 
pointer 	uri android 
returned call 	build android 
total size 	bundle 
allocation specifed 	android handler 
sds including 	android message 
sds header 	android 
pointer 	support design 
free buffer 	widget collapsing 
end term 	toolbar 
pointer actual 	layout android 
sds allocation 	support design 
normally sds 	widget 
referenced 	coordinator layout 
start buffer 	android 
increment sds 	support design 
length decrements 	widget floating 
left free 	action 
space end 	button android 
according 	support design 
incr also 	widget 
term end 	navigation view 
function used 	android support 
order fix 	design 
length user 	widget snackbar 
calls 	android support 
sds make 	content 
room writes 	context compat 
something end 	android 
current needs 	support view 
length note 	gravity compat 
possible 	android 
use negative 	support widget 
increment order 	drawer layout 
right trim 	android 
usage example 	support widget 
sds incr 	swipe refresh 
len 	layout 
sds make 	android support 
room possible 	app action 
mount following 	bar 
schema cat 	drawer toggle 
bytes coming 	android 
kernel 	support app 
end sds 	alert dialog 
without copying 	android 
intermediate buffer 	support widget 
oldlen sdslen 	linear layout 
sds make 	manager 
room 	android support 
buffer size 	widget recycler 
nread read 	view 
oldlen buffer 	android support 
size check 	widget toolbar 
nread handle 	android 
sds 	log android 
incr len 	view 
nread avoid 	menu item 
compilation warnings 	android view 
grow sds 	view 
specified length 	android view 
bytes 	animation accelerate 
part original 	interpolator 
length sds 	android view 
zero specified 	animation decelerate 
length smaller 	interpolator 
current length 	android widget 
operation 	image view 
performed make 	android 
sure added 	widget progress 
region doesn 	bar 
contain garbage 	android widget 
also trailing 	relative layout 
append 	amap 
specified binary 	api location 
safe pointed 	map location 
len bytes 	amap 
end specified 	api location 
sds call 	map location 
passed 	client 
sds longer 	amap api 
valid references 	location map 
must substituted 	location 
pointer returned 	client option 
call append 	amap 
specified 	api location 
termianted sds 	map location 
call passed 	listener 
sds longer 	bumptech glide 
valid references 	glide bumptech 
must substituted 	glide 
pointer 	load engine 
returned call 	disk cache 
append specified 	strategy 
sds existing 	xiecc see 
sds call 	weather xiecc 
modified sds 	see 
longer 	weather activity 
valid references 	xiecc 
must substituted 	see weather 
pointer returned 	common check 
call destructively 	version 
modify sds 	xiecc see 
hold 	weather common 
specified binary 	log 
safe pointed 	xiecc see 
length len 	weather common 
bytes like 	xiecc 
sdscpylen must 	see weather 
termined 	component retrofit 
length obtained 	singleton 
strlen helper 	xiecc see 
sdscatlonglong actual 	weather 
number conversion 	modules adatper 
must point 	weather adapter 
room 	xiecc 
least sds 	see weather 
llstr size 	modules domain 
bytes function 	setting 
returns length 	xiecc see 
terminated representation 	weather modules 
stored 	domain 
generate representation 	weather xiecc 
method produces 	see weather 
reversed compute 	modules 
length term 	domain weather 
reverse identical 	api 
sdsll 	xiecc see 
str type 	weather modules 
generate representation 	listener 
method produces 	hiding scroll 
reversed compute 	listener xiecc 
length term 	see 
reverse 	weather modules 
create sds 	activity xiecc 
much faster 	see 
sdscatprintf sdsempty 	weather modules 
lld like 	setting setting 
sdscatprintf gets 	activity 
list 	calendar observable 
instead variadic 	observer 
start buffer 	android schedulers 
speed possible 	android schedulers 
revert heap 	functions 
allocation buffers 	action functions 
two 	func schedulers 
times bigger 	schedulers 
every time 	android annotation 
fail fit 	suppress lint 
current buffer 	android 
size concat 	content dialog 
obtained 	android content 
sds append 	intent 
sds obtained 	android net 
alike format 	uri 
specifier call 	android build 
modified sds 	android bundle 
longer 	android 
valid references 	handler android 
must substituted 	message android 
pointer returned 	support 
call example 	design widget 
sdsnew sum 	collapsing toolbar 
sdscatprintf 	layout 
often need 	android support 
create scratch 	design widget 
alike format 	coordinator 
need use 	layout android 
sdsempty target 	support 
sdscatprintf 	design widget 
sdsempty format 	floating action 
args function 	button 
similar sdscatprintf 	android support 
much faster 	design widget 
rely sprintf 	navigation 
family 	view android 
functions implemented 	support design 
libc often 	widget 
slow moreover 	snackbar android 
directly handling 	support content 
sds data 	context 
concatenated 	compat android 
provides performance 	support 
improvement however 	view gravity 
function handles 	compat android 
incompatible subset 	support 
alike format 	widget drawer 
specifiers 	layout android 
sds bit 	support 
integer bit 	widget swipe 
integer verbatim 	refresh layout 
character next 	android 
format specifier 	support app 
process 	action bar 
position next 	drawer 
write dest 	toggle android 
str make 	support 
sure always 	app alert 
space least 	dialog android 
handle 	support 
generally unknown 	widget linear 
term part 	layout manager 
left right 	android 
composed contiguous 	support widget 
characters found 	recycler view 
cset 	android 
terminted call 	support widget 
modified sds 	toolbar android 
longer valid 	log 
references must 	android view 
substituted pointer 	menu 
returned 	item android 
call example 	view view 
sdsnew hello 	android 
world sdstrim 	view animation 
output hello 	accelerate interpolator 
world turn 	android 
smaller 	view animation 
equal containing 	decelerate interpolator 
substring specified 	android 
start end 	widget image 
indexes start 	view android 
end negative 	widget 
means 	progress bar 
last character 	android 
penultimate character 	widget relative 
forth interval 	layout amap 
inclusive start 	api 
end characters 	location map 
part 	location amap 
resulting modified 	api 
place example 	location map 
sdsnew hello 	location client 
world sdsrange 	amap 
ello world 	api location 
apply 	map location 
tolower every 	client 
character sds 	option amap 
apply toupper 	api 
every character 	location map 
sds compare 	location listener 
two 	bumptech 
sds memcmp 	glide glide 
positive negative 	bumptech glide 
exactly binary 	load 
two share 	engine disk 
exactly prefix 	cache strategy 
one 	xiecc 
two additional 	see weather 
characters longer 	xiecc see 
considered greater 	weather 
smaller one 	activity xiecc 
split separator 	see 
sep 	weather common 
sds returned 	check version 
count reference 	xiecc 
number tokens 	see weather 
returned memory 	common log 
zero length 	xiecc 
zero 	see weather 
length separator 	common xiecc 
returned note 	see 
sep able 	weather component 
split multi 	retrofit singleton 
character separator 	xiecc 
example 	see weather 
sdssplit foo 	modules 
bar two 	adatper weather 
elements foo 	adapter xiecc 
bar version 	see 
function binary 	weather modules 
safe 	domain setting 
requires length 	xiecc 
arguments sdssplit 	see weather 
function zero 	modules domain 
terminated make 	weather 
sure room 	xiecc see 
next 	weather modules 
element one 	domain 
search separator 	weather api 
skip separator 	xiecc 
element sure 	see weather 
room tokens 	modules listener 
free 	hiding 
result returned 	scroll listener 
sdssplitlen nothing 	xiecc see 
tokens append 	weather 
sds escaped 	modules activity 
representation non 	xiecc see 
printable 	weather 
characters tested 	modules setting 
isprint turned 	setting activity 
escapes form 	calendar 
hex number 	observable observer 
call modified 	android 
sds 	schedulers android 
longer valid 	schedulers functions 
references must 	action 
substituted pointer 	functions func 
returned call 	schedulers schedulers 
helper function 	android 
sdssplitargs 	annotation suppress 
returns non 	lint android 
zero valid 	content 
hex digit 	dialog android 
helper function 	content 
sdssplitargs converts 	intent android 
hex 	net uri 
digit integer 	android 
split line 	build android 
arguments every 	bundle android 
argument following 	handler 
programming language 	android message 
repl 	android support 
alike form 	design 
foo bar 	widget collapsing 
newline supported 	toolbar layout 
xff otherstuff 	android 
number arguments 	support design 
stored 	widget 
argc sds 	coordinator layout 
returned caller 	android support 
free resulting 	design 
sds sdsfreesplitres 	widget floating 
note sdscatrepr 	action button 
able 	android 
convert back 	support design 
quoted format 	widget navigation 
sdssplitargs able 	view 
parse function 	android support 
returns allocated 	design widget 
tokens 	snackbar 
success even 	android support 
input empty 	content 
input contains 	context compat 
unbalanced quotes 	android support 
closed quotes 	view 
followed 	gravity compat 
non space 	android support 
characters foo 	widget 
bar foo 	drawer layout 
skip blanks 	android support 
token quotes 	widget 
single 	swipe refresh 
quotes closing 	layout android 
quote must 	support 
followed space 	app action 
nothing unterminated 	bar 
quotes closing 	drawer toggle 
quote 	android support 
must followed 	app 
space nothing 	alert dialog 
unterminated quotes 	android support 
token vector 	widget 
even empty 	linear layout 
input 	manager android 
something modify 	support 
substituting occurrences 	widget recycler 
characters specified 	view android 
corresponding character 	support 
instance sdsmapchars 	widget toolbar 
mystring 	android 
effect turning 	log android 
hello ell 	view menu 
function returns 	item 
sds pointer 	android view 
always input 	view android 
pointer 	view 
since resize 	animation accelerate 
needed specified 	interpolator android 
separator also 	view 
returns result 	animation decelerate 
sds like 	interpolator android 
sdsjoin 	widget 
joins sds 	image view 
wrappers allocators 	android 
used sds 	widget progress 
note sds 	bar android 
actually use 	widget 
macros 	relative layout 
defined sdsalloc 	amap api 
order avoid 	location 
pay overhead 	map location 
function calls 	amap api 
define wrappers 	location 
programs 	map location 
sds linked 	client amap 
want touch 	api 
sds internals 	location map 
even use 	location 
different allocator 	client option 
run 	amap api 
test times 	location 
order hit 	map location 
first two 	listener bumptech 
sds header 	glide 
types type 	glide bumptech 
size 	glide load 
init initlen 	engine 
type hdrlen 	disk cache 
init initlen 	strategy xiecc 
reallen addlen 	see 
newsh avail 	weather xiecc 
len 	see 
newlen type 	weather activity 
oldtype hdrlen 	xiecc see 
newsh type 	weather 
oldtype hdrlen 	common check 
len alloc 	version xiecc 
incr 	see 
flags len 	weather common 
oldlen len 	log xiecc 
curlen len 	see 
curlen len 	weather common 
aux aux 	xiecc see 
buf 	weather 
len fmt 	component retrofit 
cpy staticbuf 	singleton 
buflen fmt 	xiecc see 
fmt initlen 	weather modules 
next str 	adatper 
num 	weather adapter 
unum buf 	xiecc see 
buf cset 	weather 
start end 	modules domain 
len start 	setting xiecc 
end 	see 
newlen len 	weather modules 
minlen cmp 	domain weather 
len sep 	xiecc 
seplen count 	see weather 
tokens newtokens 	modules 
tokens 	domain weather 
count len 	api xiecc 
line argc 	see 
current vector 	weather modules 
inq insq 	listener hiding 
done setlen 	scroll 
argv 	listener xiecc 
argc sep 	see weather 
argv argc 	modules 
sep seplen 	activity xiecc 
size ptr 	see weather 
size ptr 	modules 
oldfree 	setting setting 
oldlen type 	activity 
sds req 	calendar observable 
type sds 	observer android 
hdr size 	schedulers 
malloc memset 	android schedulers 
sds 	functions action 
hdr sds 	functions 
hdr sds 	func schedulers 
hdr sds 	schedulers android 
hdr memcpy 	annotation 
sdsnewlen strlen 	suppress lint 
sdsnewlen 	android content 
sdsnewlen sdslen 	dialog 
free sds 	android content 
hdr size 	intent 
strlen sdssetlen 	android net 
sdssetlen sdsavail 	uri android 
sdslen 	build 
sds hdr 	android bundle 
size sds 	android handler 
req type 	android 
sds hdr 	message android 
size realloc 	support design 
malloc 	widget 
memcpy free 	collapsing toolbar 
sdssetlen sdssetalloc 	layout android 
sdslen sds 	support 
hdr size 	design widget 
sds req 	coordinator 
type 	layout android 
sds hdr 	support design 
size realloc 	widget 
malloc memcpy 	floating action 
free sdssetlen 	button android 
sdssetalloc sdsalloc 	support 
sds 	design widget 
hdr size 	navigation view 
sds hdr 	android 
size sds 	support design 
type len 	widget snackbar 
sds hdr 	android 
sds 	support content 
hdr sds 	context 
hdr sds 	compat android 
hdr sdslen 	support view 
sds make 	gravity 
room memset 	compat android 
sdssetlen 	support widget 
sdslen sds 	drawer 
make room 	layout android 
memcpy sdssetlen 	support widget 
sdscatlen strlen 	swipe 
sdscatlen sdslen 	refresh layout 
sdsalloc 	android support 
sds make 	app 
room sdslen 	action bar 
memcpy sdssetlen 	drawer 
sdscpylen strlen 	toggle android 
sdsll str 	support app 
sdsnewlen 	alert 
strlen malloc 	dialog android 
copy vsnprintf 	support widget 
end free 	linear 
malloc sdscat 	layout manager 
free start 	android support 
sdscatvprintf 	widget 
end sdslen 	recycler view 
start sdsavail 	android support 
sds make 	widget 
room arg 	toolbar android 
strlen sdslen 	log 
sdsavail 	android view 
sds make 	menu item 
room memcpy 	android 
sdsinclen arg 	view view 
sdsll str 	android view 
sdsavail sds 	animation 
make 	accelerate interpolator 
room memcpy 	android view 
sdsinclen sdsull 	animation 
str sdsavail 	decelerate interpolator 
sds make 	android widget 
room memcpy 	image 
sdsinclen 	view android 
sdsinclen sdsinclen 	widget 
end sdslen 	progress bar 
strchr strchr 	android widget 
memmove sdssetlen 	relative 
sdslen memmove 	layout amap 
sdssetlen 	api location 
sdslen tolower 	map 
sdslen toupper 	location amap 
sdslen sdslen 	api location 
memcmp malloc 	map 
realloc memcmp 	location client 
sdsnewlen 	amap api 
sdsnewlen sdsfree 	location 
free sdsfree 	map location 
free sdscatlen 	client 
sdscatprintf sdscatlen 	option amap 
sdscatlen sdscatlen 	api location 
sdscatlen 	map 
sdscatlen isprint 	location listener 
sdscatprintf sdscatprintf 	bumptech glide 
sdscatlen isspace 	glide 
sdsempty hex 	bumptech glide 
digit hex 	load engine 
digit 	disk 
hex digit 	cache strategy 
hex digit 	xiecc see 
sdscatlen sdscatlen 	weather 
isspace sdscatlen 	xiecc see 
sdscatlen isspace 	weather 
sdscatlen 	activity xiecc 
sdscatlen realloc 	see weather 
malloc sdsfree 	common 
free sdsfree 	check version 
sdslen sdsempty 	xiecc see 
sdscat sdscat 	weather 
sdsempty 	common log 
sdscatsds sdscatlen 	xiecc see 
malloc realloc 	weather 
free sdsnew 	common xiecc 
sdsfree sdsnewlen 	see weather 
sdscat test 	component 
cond 	retrofit singleton 
sdslen memcmp 	xiecc 
sdscpy sdscpy 	see weather 
sdsfree sdscatprintf 	modules adatper 
sdsempty sdsfree 	weather 
sdsnew sdscatfmt 	adapter xiecc 
sdsfree 	see weather 
sdsnew sdscatfmt 	modules 
sdsfree sdsnew 	domain setting 
sdstrim sdsfree 	xiecc see 
sdsnew sdstrim 	weather 
sdsfree sdsnew 	modules domain 
sdstrim 	weather xiecc 
sdsdup sdsrange 	see 
sdsfree sdsdup 	weather modules 
sdsrange sdsfree 	domain 
sdsdup sdsrange 	weather api 
sdsfree sdsdup 	xiecc see 
sdsrange 	weather 
sdsfree sdsdup 	modules listener 
sdsrange sdsfree 	hiding scroll 
sdsdup sdsrange 	listener 
sdsfree sdsfree 	xiecc see 
sdsnew sdsnew 	weather modules 
sdsfree 	activity 
sdsfree sdsnew 	xiecc see 
sdsnew sdsfree 	weather modules 
sdsfree sdsnew 	setting 
sdsnew sdsfree 	setting activity 
sdsfree sdsnewlen 	calendar 
sdscatrepr 	observable observer 
sdsempty sdslen 	android schedulers 
sdsfree sdsfree 	android 
sdsnew test 	schedulers functions 
cond sdslen 	action functions 
sdsavail sdslen 	func 
sds 	schedulers schedulers 
make room 	android annotation 
test cond 	suppress 
sdslen test 	lint android 
cond sdsavail 	content dialog 
sdsavail sds 	android 
incr 	content intent 
len test 	android 
cond memcmp 	net uri 
test cond 	android build 
sdslen sdsfree 	android 
sds test 	bundle android 
sds 	handler android 
lib library 	message 
copyright salvatore 	android support 
sanfilippo antirez 	design widget 
gmail dot 	collapsing 
copyright oran 	toolbar layout 
agra 	android 
copyright redis 	support design 
labs inc 	widget coordinator 
rights reserved 	layout 
redistribution use 	android support 
source binary 	design widget 
forms 	floating 
without modification 	action button 
permitted provided 	android support 
following conditions 	design 
met redistributions 	widget navigation 
source code 	view android 
must 	support 
retain copyright 	design widget 
notice list 	snackbar 
conditions following 	android support 
disclaimer redistributions 	content context 
binary form 	compat 
must 	android support 
reproduce copyright 	view gravity 
notice list 	compat 
conditions following 	android support 
disclaimer documentation 	widget drawer 
materials provided 	layout 
distribution 	android support 
neither name 	widget swipe 
redis names 	refresh 
contributors may 	layout android 
used endorse 	support 
promote products 	app action 
derived 	bar drawer 
software without 	toggle 
specific prior 	android support 
written permission 	app alert 
software provided 	dialog 
copyright holders 	android support 
contributors 	widget linear 
express implied 	layout 
warranties including 	manager android 
limited implied 	support widget 
warranties merchantability 	recycler 
fitness particular 	view android 
purpose 	support 
disclaimed shall 	widget toolbar 
copyright owner 	android log 
contributors liable 	android 
direct indirect 	view menu 
incidental special 	item android 
exemplary 	view 
consequential damages 	view android 
including limited 	view animation 
procurement substitute 	accelerate 
goods services 	interpolator android 
loss use 	view animation 
data 	decelerate 
profits business 	interpolator android 
interruption however 	widget 
caused theory 	image view 
liability whether 	android widget 
contract strict 	progress 
liability 	bar android 
tort including 	widget relative 
negligence otherwise 	layout 
arising way 	amap api 
use software 	location map 
even advised 	location 
possibility 	amap api 
damage create 	location map 
sds content 	location 
specified init 	client amap 
pointer initlen 	api 
used init 	location map 
initialized 	location client 
zero bytes 	option 
always termined 	amap api 
sds always 	location map 
even create 	location 
sds mystring 	listener bumptech 
sdsnewlen 	glide glide 
abc print 	bumptech 
end however 	glide load 
binary safe 	engine disk 
contain characters 	cache 
middle length 	strategy xiecc 
stored 	see 
