abspath.c path 	AboutActivity.java saved 
attr builtin 	listener 
merge usage squash 	hiding scroll 
option commit 	listener xiecc 
option edit message 	see 
verify signatures 	weather modules 
overwrite ignore merge 	activity xiecc 
msg use 	see 
strategies use strategies 	weather modules 
use strategies 	setting 
alloc xopts xopts 	setting activity 
xopts alloc 	calendar observable 
branch branch 	observer 
mergeoptions option renormalize 	android schedulers 
verbosity allow 	android schedulers 
rerere abort current 	functions 
merge show 	action functions 
progress upstream sign 	func schedulers 
commit strategy 	schedulers 
pull twohead pull 	android annotation 
octopus opt 	suppress lint 
arg unset buf 	android 
name ret 	content dialog 
main cmds cmds 	android 
loaded strategies 	content intent 
found ent opt 	android net 
name unset 	uri 
opt arg unset 	android build 
opt arg 	android bundle 
unset builtin merge 	android 
options stash 	handler android 
len buffer 	message android 
argv sha verbose 	support 
args sha 	design widget 
verbose args head 	collapsing toolbar 
stash args 	layout 
msg commit remoteheads 	android support 
rev filename 	design 
ctx head commit 	widget coordinator 
remoteheads head 	layout android 
msg reflog message 	support 
head argv 	design widget 
opts remote msg 	floating action 
remote head 	button 
branch head buf 	android support 
bname ptr 	design widget 
found len early 	navigation 
seen nonzero 	view android 
truname desc 	support 
bmo argv argc 	design widget 
status boolval 	snackbar android 
common head one 	support 
trees trees 	content context 
opts sha strategy 	compat android 
common remoteheads 	support 
head head arg 	view gravity 
clean result 	compat android 
reversed opt data 	support 
count ret 	widget drawer 
list alloc buf 	layout android 
attr list 	support 
msg filename msg 	widget swipe 
filename commit 	refresh 
list remoteheads err 	layout android 
msg merge 	support app 
editor comment remoteheads 	action 
msg head 	bar drawer 
remoteheads result 	toggle android 
result commit parents 	support 
pptr head 	app alert 
head subsumed common 	dialog android 
remoteheads result 	support 
strategy parents buf 	widget linear 
result commit 	layout manager 
filename msgbuf argc 	android 
argv head 	support widget 
second token second 	recycler 
sha cnt 	view android 
rev argv branch 	support widget 
args remoteheads 	toolbar 
filename buf oid 	android log 
name stdin 	android view 
stdout head commit 	menu 
head subsumed 	item android 
remoteheads parents remotes 	view view 
commit merge 	android 
names merge 	view animation 
msg opts remotes 	accelerate interpolator 
merge names 	android 
filename pos npos 	view animation 
fetch head 	decelerate 
file sha ptr 	interpolator android 
commit saved 	widget image 
head commit head 	view 
subsumed argc 	android widget 
argv merge msg 	progress bar 
remoteheads remotes 	android 
autogen commit argc 	widget relative 
argv prefix 	layout amap 
result stash head 	api 
sha head 	location map 
commit buf head 	location amap 
arg flag 	api 
head subsumed automerge 	location map 
common strategy 	location 
remoteheads branch 	client amap 
free nargc nargv 	api location 
remote head 	map 
commit hex signature 	location client 
check commit 	option amap 
list msg commit 	api 
date common 	location map 
one ret cnt 	location listener 
strbuf setlen 	bumptech 
strbuf addf error 	glide glide 
size strcmp 	bumptech glide 
memset load command 	load 
list size 	engine disk 
strncmp cmdname exclude 	cache 
cmds cmdlist 	strategy xiecc 
cmdlist exit xcalloc 	see weather 
xstrdup alloc 	xiecc 
grow append 	see weather 
strategy strategy alloc 	activity xiecc 
grow xstrdup 	see 
unlink git path 	weather common 
merge head 	check version 
unlink git path 	xiecc 
merge msg 	see weather 
unlink git path 	common log 
merge mode 	xiecc 
start command die 	see weather 
strbuf read 	common 
close finish command 	xiecc see 
die strbuf 	weather component 
setlen sha die 	retrofit 
sha hex 	singleton xiecc 
run command opt 	see weather 
die sha 	modules 
hex run command 	adatper weather 
opt die 	adapter xiecc 
sha reset 	see 
hard sha hex 	weather modules 
run command 	domain setting 
opt strbuf release 	xiecc 
refresh cache 	see weather 
drop save git 	modules 
path squash 	domain weather 
msg open die 	xiecc see 
errno init 	weather 
revisions pending pending 	modules domain 
setup revisions 	weather api 
prepare revision walk 	xiecc 
die strbuf 	see weather 
addstr revision strbuf 	modules listener 
addch strbuf 	hiding 
addf oid hex 	scroll listener 
pretty print 	xiecc see 
commit write full 	weather 
die errno 	modules activity 
close die 	xiecc 
errno strbuf release 	see weather 
strbuf addstr 	modules setting 
getenv strbuf addf 	setting 
getenv squash 	activity calendar 
message update close 	observable observer 
packs run 	android 
command opt diff 	schedulers android 
setup diff 	schedulers functions 
setup done diff 	action 
sha diffcore 	functions func 
std diff flush 	schedulers schedulers 
run hook 	android 
strbuf release strbuf 	annotation suppress 
branchname memset 	lint 
merge parent die 	android content 
dwim strlen 	dialog android 
starts strbuf addf 	content 
sha hex 	intent android 
starts strbuf 	net uri 
addf sha hex 	android 
starts strbuf 	build android 
addf sha hex 	bundle android 
strrchr isdigit 	handler 
strbuf addf strbuf 	android message 
setlen exists 	android support 
strbuf addf sha 	design 
hex strbuf 	widget collapsing 
release strbuf release 	toolbar 
merge remote 	layout android 
strbuf addf sha 	support design 
hex strbuf 	widget 
addf sha hex 	coordinator layout 
strbuf release 	android support 
strbuf release split 	design 
cmdline die 	widget floating 
split cmdline strerror 	action button 
realloc memmove 	android 
parse options 	support design 
free starts starts 	widget navigation 
strcmp strlen 	view 
free xstrdup strcmp 	android support 
strcmp git 	design 
config strcmp git 	widget snackbar 
config strcmp 	android support 
git config strcmp 	content 
git config 	context compat 
strcmp git config 	android support 
maybe strcmp 	view 
strcmp git config 	gravity compat 
strcmp git 	android support 
config fmt merge 	widget 
msg config 	drawer layout 
git gpg config 	android support 
git diff 	widget 
config memset 	swipe refresh 
parse indirect parse 	layout 
indirect parse 	android support 
indirect cache free 	app action 
parse init 	bar 
desc unpack trees 	drawer toggle 
write cache 	android support 
die hold locked 	app 
index refresh 	alert dialog 
cache write locked 	android support 
index error 	widget 
rollback file strcmp 	linear layout 
strcmp error 	manager android 
init merge options 	support 
strcmp isatty 	widget recycler 
parse merge opt 	view 
die merge 	android support 
remote commit list 	widget toolbar 
insert hold 	android 
locked index 	log android 
merge recursive write 	view menu 
locked index 	item 
die index file 	android view 
rollback file 	view android 
merge command stage 	view 
xstrdup strchr 	animation accelerate 
alloc grow xstrdup 	interpolator android 
free alloc 	view 
grow xstrdup memset 	animation decelerate 
split merge 	interpolator 
strategies append strategy 	android widget 
strategy size 	image view 
append strategy git 	android 
path merge 	widget progress 
msg open die 	bar android 
errno write 	widget 
full die errno 	relative layout 
close git 	amap api 
path merge 	location 
msg strbuf reset 	map location 
strbuf read 	amap api 
file die errno 	location 
error write 	map location 
merge state exit 	client 
strbuf addbuf 	amap api 
strbuf addch strbuf 	location map 
commented addf 	location 
write merge msg 	client option 
run commit 	amap api 
hook index file 	location 
git path 	map location 
merge msg abort 	listener bumptech 
commit launch 	glide 
editor git path 	glide bumptech 
merge msg 	glide load 
abort commit read 	engine 
merge msg 	disk cache 
strbuf stripspace 	strategy 
abort commit strbuf 	xiecc see 
release strbuf 	weather xiecc 
addbuf strbuf release 	see 
write trivial 	weather activity 
commit list append 	xiecc see 
commit list 	weather 
append prepare commit 	common check 
commit die 	version xiecc 
finish drop save 	see 
free commit 	weather common 
list commit list 	log xiecc 
insert strbuf 	see 
addch prepare commit 	weather common 
commit die 	xiecc 
strbuf addf finish 	see weather 
strbuf release 	component retrofit 
drop save 	singleton 
git path merge 	xiecc see 
msg fopen 	weather modules 
die errno append 	adatper 
conflicts hint 	weather adapter 
fputs strbuf release 	xiecc see 
fclose rerere 	weather 
sha lookup commit 	modules domain 
reference gently 	setting xiecc 
die hashcmp init 	see 
revisions setup 	weather modules 
revisions run diff 	domain 
files count 	weather xiecc 
unmerged entries branch 	see weather 
die die 	modules 
die xcalloc die 	domain weather 
merge remote 	api xiecc 
merge remote strbuf 	see 
addf oid 	weather modules 
hex git 	listener hiding 
path merge head 	scroll 
open die 	listener xiecc 
errno write full 	see weather 
die errno 	modules 
close strbuf addch 	activity xiecc 
write merge 	see 
msg git path 	weather modules 
merge mode 	setting setting 
open die errno 	activity 
strbuf reset 	calendar observable 
strbuf addf write 	observer android 
full die 	schedulers 
errno close getenv 	android schedulers 
git config 	functions action 
maybe die fstat 	functions 
fstat isatty 	func schedulers 
isatty reduce heads 	schedulers android 
pop commit 	annotation 
commit list 	suppress lint 
insert memset fmt 	android 
merge msg 	content dialog 
strbuf setlen git 	android content 
path fetch 	intent 
head open die 	android net 
errno strbuf 	uri android 
read die errno 	build 
close die 	android bundle 
errno strchr sha 	android handler 
hex memcmp 	android 
merge parent die 	message android 
commit list 	support design 
insert strbuf release 	widget 
commit list 	collapsing toolbar 
insert strcmp handle 	layout 
fetch head 	android support 
reduce parents merge 	design widget 
parent help 	coordinator 
unknown commit 	layout android 
list insert reduce 	support design 
parents merge 	widget 
name merge remote 	floating action 
prepare merge 	button android 
message strbuf release 	support 
strcmp usage 	design widget 
options resolve refdup 	navigation view 
starts sha 	android 
lookup commit die 	support design 
git config 	widget 
parse branch merge 	snackbar android 
options parse 	support content 
options file exists 	context 
git path 	compat android 
merge head die 	support view 
cmd reset 	gravity 
read cache 	compat android 
unmerged die resolve 	support widget 
conflict file 	drawer 
exists git path 	layout android 
merge head 	support 
die die file 	widget swipe 
exists git 	refresh layout 
path cherry pick 	android 
head die 	support app 
die resolve undo 	action bar 
clear die 	drawer 
setup upstream die 	toggle android 
strcmp usage 	support app 
options die die 	alert 
collect parents 	dialog android 
die die read 	support widget 
empty update 	linear 
old style invocation 	layout manager 
warning strbuf 	android 
addstr collect 	support widget 
parents collect parents 	recycler view 
usage options 	android 
memset check commit 	support widget 
signature find 	toolbar android 
unique abbrev die 	log 
die die 	android view 
signature check clear 	menu item 
strbuf addstr 	android 
strbuf addf merge 	view view 
remote setenv 	android view 
strbuf reset strbuf 	animation 
addf sha 	accelerate interpolator 
hex setenv merge 	android 
remote strbuf 	view animation 
reset merge remote 	decelerate interpolator 
merge remote 	android 
merge remote edit 	widget image 
option strategies 	view android 
strategies merge 	widget 
bases commit list 	progress bar 
insert octopus 	android widget 
merge bases free 	relative 
update finish 	layout amap 
date hashcmp find 	api location 
unique abbrev 	map 
find unique abbrev 	location amap 
strbuf addstr 	api 
strbuf addstr checkout 	location map 
fast forward 	location client 
finish drop save 	amap 
refresh cache 	api location 
git committer info 	map location 
read trivial 	client 
merge trivial merge 	option amap 
bases hashcmp 	api location 
finish date die 	map 
git committer 	location listener 
info save 	bumptech glide 
state hashcpy restore 	glide 
state merge 	bumptech glide 
strategy evaluate result 	load 
write trivial 	engine disk 
finish automerge restore 	cache strategy 
state restore 	xiecc 
state merge strategy 	see weather 
finish write 	xiecc see 
merge state suggest 	weather 
conflicts free 	activity xiecc 
builtin git merge 	see weather 
copyright miklos 	common 
vajna vmiklos frugalware 	check version 
git merge 	xiecc see 
junio hamano cleans 	weather 
metadata uninteresting 	common log 
succeeded merge changes 	xiecc 
ignore error 	see weather 
example nothing 	common xiecc 
restore called merge 	see 
necessary ignore 	weather component 
errors since user 	retrofit singleton 
see use 	xiecc 
full terminal width 	see weather 
respect stat 	modules adatper 
graph width config 	weather 
run post 	adapter xiecc 
merge hook name 	see weather 
merge commit 	modules 
message see remote 	domain setting 
matches name 	xiecc 
name number count 	see weather 
number name 	modules domain 
name barf values 	weather 
future versions 	xiecc see 
git check 	weather modules 
many files differ 	domain 
check many 	weather api 
unmerged entries pretend 	xiecc see 
user told 	weather 
merge remote tracking 	modules listener 
branch upstream 	hiding scroll 
current branch msg 	listener 
without edit 	xiecc see 
use editor stdin 	weather 
stdout tty 	modules activity 
current head reachable 	xiecc see 
another commit 	weather 
merged want record 	modules setting 
parent resulting 	setting activity 
merge unless given 	calendar 
flip variable 	observable observer 
find head among 	android schedulers 
independent tips 	android 
merged find 	schedulers functions 
parents record checking 	action functions 
independent ones 	func 
bad merge check 	schedulers schedulers 
detached head 	android 
current branch invoke 	annotation suppress 
git reset 	lint android 
merge unmerged entry 	content 
advise git 	dialog android 
file git commit 	content intent 
merged head 	android 
valid one reason 	net uri 
forbid git 	android build 
merge branch yet 	android 
born git 	bundle android 
pull could traditional 	handler android 
merge msg 	message 
head commit way 	android support 
tell see 	design 
second token 	widget collapsing 
head people might 	toolbar layout 
misused used 	android 
commit ish head 	support design 
instead traditional 	widget coordinator 
format never would 	layout 
additional safety 	android support 
measure check invoked 	design widget 
directly first 	floating 
rest commits merged 	action button 
prepare standard 	android support 
merge summary message 	design 
appended given 	widget navigation 
message already date 	view 
already date 	android support 
common ancestors found 	design widget 
need real 	snackbar 
merge head reach 	android support 
merge date 	content context 
first common 	compat 
merging one remote 	android support 
common merging 	view gravity 
one remote octopus 	compat 
fast forward 	android support 
need real merge 	widget drawer 
octopus fast 	layout 
forward one common 	android support 
see really 	widget 
trivial octopus reach 	swipe refresh 
remote date 	layout android 
calculate individual merge 	support 
bases otherwise 	app action 
git merge head 	bar drawer 
head would 	toggle 
missed going make 	android support 
commit point 	app alert 
need real 	dialog 
merge matter strategy 	android support 
use would 	widget linear 
operate index possibly 	layout 
affecting working 	manager android 
resolved cleanly desired 	support 
index means 	widget recycler 
index must sync 	view android 
head commit 	support 
strategies responsible ensure 	widget toolbar 
stash away 	android log 
local changes one 	android 
remember strategy 	view menu 
left state working 	item android 
necessary avoid 	view 
writing later exit 	view android 
status code 	view animation 
merge backend exits 	accelerate 
conflicts left 	interpolator android 
resolved handle 	view 
given merge automerge 	animation decelerate 
succeeded resulting 	interpolator android 
means strategy module 	widget 
resolved merge 	image view 
cleanly pick result 	android widget 
best strategy 	progress 
user fix already 	bar android 
result working 	widget relative 
merge.c commit strategy 	layout 
xopts xopts 	amap api 
common head arg 	location map 
remotes args 	location 
ret head remote 	amap api 
overwrite ignore 	location 
trees opts trees 	map location 
dir file 	client amap 
oid hex argv 	api 
pushf argv 	location map 
pushf argv 	location client 
push merge argument 	option 
argv push 	amap api 
argv push argv 	location map 
push merge 	location 
argument run command 	listener bumptech 
opt argv 	glide glide 
clear discard cache 	bumptech 
read cache 	glide load 
die resolve undo 	engine 
clear xcalloc 	disk cache 
refresh cache hold 	strategy xiecc 
locked index 	see 
memset memset memset 	weather xiecc 
memset setup 	see weather 
standard excludes setup 	activity 
unpack trees 	xiecc see 
porcelain parse indirect 	weather common 
parse indirect 	check 
parse init 	version xiecc 
desc unpack trees 	see weather 
write locked 	common 
index die builtin 	log xiecc 
git merge 	see 
copyright miklos vajna 	weather common 
vmiklos frugalware 	xiecc see 
git merge junio 	weather 
hamano cleans 	component retrofit 
metadata uninteresting succeeded 	singleton xiecc 
merge changes 	see 
ignore error example 	weather modules 
nothing restore 	adatper weather 
called merge necessary 	adapter 
ignore errors 	xiecc see 
since user see 	weather modules 
use full 	domain 
terminal width 	setting xiecc 
respect stat graph 	see 
width config 	weather modules 
run post merge 	domain weather 
hook name 	xiecc 
merge commit message 	see weather 
see remote 	modules domain 
matches name name 	weather 
number count 	api xiecc 
number name name 	see weather 
barf values 	modules 
future versions git 	listener hiding 
check many 	scroll listener 
files differ check 	xiecc 
many unmerged 	see weather 
entries pretend user 	modules 
told merge 	activity xiecc 
remote tracking branch 	see weather 
upstream current 	modules 
branch msg 	setting setting 
without edit use 	activity calendar 
editor stdin 	observable 
stdout tty current 	observer android 
head reachable 	schedulers android 
another commit merged 	schedulers 
want record 	functions action 
parent resulting merge 	functions func 
unless given 	schedulers 
flip variable find 	schedulers android 
head among 	annotation 
independent tips merged 	suppress lint 
find parents 	android content 
record checking independent 	dialog 
ones bad 	android content 
merge check detached 	intent android 
head current 	net 
branch invoke git 	uri android 
reset merge 	build android 
unmerged entry 	bundle 
advise git file 	android handler 
git commit 	android message 
merged head valid 	android 
one reason 	support design 
forbid git merge 	widget 
branch yet 	collapsing toolbar 
born git pull 	layout android 
could traditional 	support 
merge msg head 	design widget 
commit way 	coordinator layout 
tell see second 	android 
token head 	support design 
people might misused 	widget floating 
used commit 	action 
ish head instead 	button android 
traditional format 	support design 
never would additional 	widget 
safety measure 	navigation view 
check invoked 	android 
directly first rest 	support design 
commits merged 	widget snackbar 
prepare standard merge 	android 
summary message 	support content 
appended given message 	context compat 
already date 	android 
already date common 	support view 
ancestors found 	gravity compat 
need real merge 	android 
head reach 	support widget 
merge date first 	drawer 
common merging 	layout android 
one remote common 	support widget 
merging one 	swipe 
remote octopus fast 	refresh layout 
forward need 	android support 
real merge octopus 	app 
fast forward 	action bar 
one common 	drawer toggle 
see really trivial 	android 
octopus reach 	support app 
remote date calculate 	alert dialog 
individual merge 	android 
bases otherwise git 	support widget 
merge head 	linear 
head would missed 	layout manager 
going make 	android support 
commit point need 	widget 
real merge 	recycler view 
matter strategy use 	android support 
would operate 	widget 
index possibly affecting 	toolbar android 
working resolved 	log android 
cleanly desired index 	view 
means index 	menu item 
must sync 	android view 
head commit strategies 	view 
responsible ensure 	android view 
stash away local 	animation 
changes one 	accelerate interpolator 
remember strategy left 	android view 
state working 	animation 
necessary avoid writing 	decelerate interpolator 
later exit 	android widget 
status code merge 	image 
backend exits 	view android 
conflicts left resolved 	widget progress 
handle given 	bar 
merge automerge succeeded 	android widget 
resulting means 	relative layout 
strategy module resolved 	amap 
merge cleanly 	api location 
pick result best 	map 
strategy user 	location amap 
fix already 	api location 
result working name 	map 
attr builtin 	location client 
merge usage squash 	amap api 
option commit 	location 
option edit message 	map location 
verify signatures 	client option 
overwrite ignore merge 	amap 
msg use 	api location 
strategies use strategies 	map location 
use strategies 	listener 
alloc xopts xopts 	bumptech glide 
xopts alloc 	glide 
branch branch mergeoptions 	bumptech glide 
option renormalize 	load engine 
verbosity allow rerere 	disk 
abort current 	cache strategy 
merge show progress 	xiecc see 
upstream sign 	weather 
commit strategy 	xiecc see 
pull twohead pull 	weather activity 
octopus opt 	xiecc 
arg unset buf 	see weather 
name ret 	common check 
main cmds cmds 	version 
loaded strategies 	xiecc see 
found ent opt 	weather 
name unset 	common log 
opt arg unset 	xiecc see 
opt arg 	weather 
unset builtin merge 	common xiecc 
options stash 	see weather 
len buffer argv 	component 
sha verbose 	retrofit singleton 
args sha verbose 	xiecc see 
args head 	weather 
stash args msg 	modules adatper 
commit remoteheads 	weather adapter 
rev filename 	xiecc 
ctx head commit 	see weather 
remoteheads head 	modules 
msg reflog message 	domain setting 
head argv 	xiecc see 
opts remote msg 	weather 
remote head 	modules domain 
branch head buf 	weather xiecc 
bname ptr 	see 
found len early 	weather modules 
seen nonzero 	domain weather 
truname desc bmo 	api 
argv argc 	xiecc see 
status boolval common 	weather modules 
head one 	listener 
trees trees opts 	hiding scroll 
sha strategy 	listener 
common remoteheads 	xiecc see 
head head arg 	weather modules 
clean result 	activity 
reversed opt data 	xiecc see 
count ret 	weather modules 
list alloc buf 	setting 
attr list 	setting activity 
msg filename msg 	calendar observable 
filename commit 	observer 
list remoteheads err 	android schedulers 
msg merge 	android schedulers 
editor comment remoteheads 	functions 
msg head 	action functions 
remoteheads result result 	func 
commit parents 	schedulers schedulers 
pptr head head 	android annotation 
subsumed common 	suppress 
remoteheads result strategy 	lint android 
parents buf 	content dialog 
result commit 	android 
filename msgbuf argc 	content intent 
argv head 	android net 
second token second 	uri 
sha cnt 	android build 
rev argv branch 	android bundle 
args remoteheads 	android 
filename buf oid 	handler android 
name stdin 	message 
stdout head commit 	android support 
head subsumed 	design widget 
remoteheads parents remotes 	collapsing 
commit merge 	toolbar layout 
names merge msg 	android support 
opts remotes 	design 
merge names filename 	widget coordinator 
pos npos 	layout android 
fetch head file 	support 
sha ptr 	design widget 
commit saved 	floating action 
head commit head 	button 
subsumed argc 	android support 
argv merge msg 	design 
remoteheads remotes 	widget navigation 
autogen commit argc 	view android 
argv prefix 	support 
result stash head 	design widget 
sha head 	snackbar android 
commit buf head 	support 
arg flag 	content context 
head subsumed automerge 	compat android 
common strategy 	support 
remoteheads branch free 	view gravity 
nargc nargv 	compat android 
remote head commit 	support 
hex signature 	widget drawer 
check commit list 	layout 
msg commit 	android support 
date common 	widget swipe 
one ret cnt 	refresh 
strbuf setlen 	layout android 
strbuf addf error 	support app 
size strcmp 	action 
memset load command 	bar drawer 
list size 	toggle android 
strncmp cmdname exclude 	support 
cmds cmdlist 	app alert 
cmdlist exit xcalloc 	dialog android 
xstrdup alloc 	support 
grow append strategy 	widget linear 
strategy alloc 	layout 
grow xstrdup unlink 	manager android 
git path 	support widget 
merge head unlink 	recycler 
git path 	view android 
merge msg 	support widget 
unlink git path 	toolbar 
merge mode 	android log 
start command die 	android view 
strbuf read 	menu 
close finish command 	item android 
die strbuf 	view view 
setlen sha die 	android 
sha hex 	view animation 
run command opt 	accelerate 
die sha 	interpolator android 
hex run command 	view animation 
opt die 	decelerate 
sha reset hard 	interpolator android 
sha hex 	widget image 
run command opt 	view 
strbuf release 	android widget 
refresh cache drop 	progress bar 
save git 	android 
path squash 	widget relative 
msg open die 	layout amap 
errno init 	api 
revisions pending pending 	location map 
setup revisions 	location 
prepare revision walk 	amap api 
die strbuf 	location map 
addstr revision strbuf 	location 
addch strbuf 	client amap 
addf oid hex 	api location 
pretty print 	map 
commit write full 	location client 
die errno 	option amap 
close die errno 	api 
strbuf release 	location map 
strbuf addstr getenv 	location listener 
strbuf addf 	bumptech 
getenv squash message 	glide glide 
update close 	bumptech 
packs run 	glide load 
command opt diff 	engine disk 
setup diff 	cache 
setup done diff 	strategy xiecc 
sha diffcore 	see weather 
std diff flush 	xiecc 
run hook 	see weather 
strbuf release strbuf 	activity xiecc 
branchname memset 	see 
merge parent die 	weather common 
dwim strlen 	check version 
starts strbuf addf 	xiecc 
sha hex 	see weather 
starts strbuf addf 	common 
sha hex 	log xiecc 
starts strbuf addf 	see weather 
sha hex 	common 
strrchr isdigit strbuf 	xiecc see 
addf strbuf 	weather component 
setlen exists 	retrofit 
strbuf addf sha 	singleton xiecc 
hex strbuf 	see weather 
release strbuf release 	modules 
merge remote 	adatper weather 
strbuf addf sha 	adapter xiecc 
hex strbuf 	see 
addf sha hex 	weather modules 
strbuf release 	domain 
strbuf release split 	setting xiecc 
cmdline die 	see weather 
split cmdline strerror 	modules 
realloc memmove 	domain weather 
parse options free 	xiecc see 
starts starts 	weather 
strcmp strlen free 	modules domain 
xstrdup strcmp 	weather api 
strcmp git config 	xiecc 
strcmp git 	see weather 
config strcmp 	modules listener 
git config strcmp 	hiding 
git config 	scroll listener 
strcmp git config 	xiecc 
maybe strcmp 	see weather 
strcmp git config 	modules activity 
strcmp git 	xiecc 
config fmt merge 	see weather 
msg config 	modules setting 
git gpg config 	setting 
git diff 	activity calendar 
config memset parse 	observable observer 
indirect parse 	android 
indirect parse indirect 	schedulers android 
cache free 	schedulers functions 
parse init desc 	action 
unpack trees 	functions func 
write cache 	schedulers 
die hold locked 	schedulers android 
index refresh 	annotation suppress 
cache write locked 	lint 
index error 	android content 
rollback file strcmp 	dialog android 
strcmp error 	content 
init merge options 	intent android 
strcmp isatty 	net uri 
parse merge opt 	android 
die merge 	build android 
remote commit list 	bundle android 
insert hold 	handler 
locked index merge 	android message 
recursive write 	android 
locked index die 	support design 
index file 	widget collapsing 
rollback file merge 	toolbar 
command stage 	layout android 
xstrdup strchr 	support design 
alloc grow xstrdup 	widget 
free alloc 	coordinator layout 
grow xstrdup memset 	android support 
split merge 	design 
strategies append strategy 	widget floating 
strategy size 	action button 
append strategy git 	android 
path merge 	support design 
msg open die 	widget 
errno write 	navigation view 
full die errno 	android support 
close git 	design 
path merge msg 	widget snackbar 
strbuf reset 	android support 
strbuf read file 	content 
die errno 	context compat 
error write merge 	android support 
state exit 	view 
strbuf addbuf 	gravity compat 
strbuf addch strbuf 	android support 
commented addf 	widget 
write merge msg 	drawer layout 
run commit 	android 
hook index file 	support widget 
git path 	swipe refresh 
merge msg abort 	layout 
commit launch 	android support 
editor git path 	app action 
merge msg 	bar 
abort commit read 	drawer toggle 
merge msg 	android support 
strbuf stripspace abort 	app 
commit strbuf 	alert dialog 
release strbuf addbuf 	android 
strbuf release 	support widget 
write trivial commit 	linear layout 
list append 	manager 
commit list 	android support 
append prepare commit 	widget recycler 
commit die 	view 
finish drop save 	android support 
free commit 	widget toolbar 
list commit list 	android 
insert strbuf 	log android 
addch prepare commit 	view menu 
commit die 	item 
strbuf addf finish 	android view 
strbuf release 	view 
drop save git 	android view 
path merge 	animation accelerate 
msg fopen die 	interpolator 
errno append 	android view 
conflicts hint fputs 	animation decelerate 
strbuf release 	interpolator 
fclose rerere 	android widget 
sha lookup commit 	image view 
reference gently 	android 
die hashcmp init 	widget progress 
revisions setup 	bar android 
revisions run diff 	widget 
files count 	relative layout 
unmerged entries branch 	amap 
die die 	api location 
die xcalloc die 	map location 
merge remote 	amap 
merge remote strbuf 	api location 
addf oid 	map location 
hex git path 	client 
merge head 	amap api 
open die errno 	location map 
write full 	location 
die errno close 	client option 
strbuf addch 	amap api 
write merge 	location 
msg git path 	map location 
merge mode 	listener 
open die errno 	bumptech glide 
strbuf reset 	glide bumptech 
strbuf addf write 	glide 
full die 	load engine 
errno close getenv 	disk cache 
git config 	strategy 
maybe die fstat 	xiecc see 
fstat isatty 	weather xiecc 
isatty reduce heads 	see 
pop commit 	weather activity 
commit list insert 	xiecc see 
memset fmt 	weather 
merge msg strbuf 	common check 
setlen git 	version 
path fetch head 	xiecc see 
open die 	weather common 
errno strbuf 	log 
read die errno 	xiecc see 
close die 	weather common 
errno strchr sha 	xiecc 
hex memcmp 	see weather 
merge parent die 	component retrofit 
commit list 	singleton 
insert strbuf release 	xiecc see 
commit list 	weather modules 
insert strcmp handle 	adatper 
fetch head 	weather adapter 
reduce parents merge 	xiecc 
parent help 	see weather 
unknown commit list 	modules domain 
insert reduce 	setting 
parents merge name 	xiecc see 
merge remote 	weather modules 
prepare merge message 	domain 
strbuf release 	weather xiecc 
strcmp usage 	see weather 
options resolve refdup 	modules 
starts sha 	domain weather 
lookup commit die 	api xiecc 
git config 	see 
parse branch merge 	weather modules 
options parse 	listener 
options file exists 	hiding scroll 
git path 	listener xiecc 
merge head die 	see 
cmd reset 	weather modules 
read cache unmerged 	activity xiecc 
die resolve 	see 
conflict file exists 	weather modules 
git path 	setting setting 
merge head die 	activity 
die file 	calendar observable 
exists git path 	observer android 
cherry pick 	schedulers 
head die 	android schedulers 
die resolve undo 	functions 
clear die 	action functions 
setup upstream die 	func schedulers 
strcmp usage 	schedulers 
options die die 	android annotation 
collect parents 	suppress lint 
die die read 	android 
empty update 	content dialog 
old style invocation 	android content 
warning strbuf 	intent 
addstr collect parents 	android net 
collect parents 	uri android 
usage options memset 	build 
check commit 	android bundle 
signature find unique 	android 
abbrev die 	handler android 
die die 	message android 
signature check clear 	support 
strbuf addstr 	design widget 
strbuf addf merge 	collapsing toolbar 
remote setenv 	layout 
strbuf reset strbuf 	android support 
addf sha 	design widget 
hex setenv merge 	coordinator 
remote strbuf 	layout android 
reset merge remote 	support design 
merge remote 	widget 
merge remote edit 	floating action 
option strategies 	button 
strategies merge bases 	android support 
commit list 	design widget 
insert octopus merge 	navigation 
bases free 	view android 
update finish date 	support design 
hashcmp find 	widget 
unique abbrev 	snackbar android 
find unique abbrev 	support content 
strbuf addstr 	context 
strbuf addstr checkout 	compat android 
fast forward 	support view 
finish drop save 	gravity 
refresh cache 	compat android 
git committer info 	support 
read trivial 	widget drawer 
merge trivial merge 	layout android 
bases hashcmp 	support 
finish date die 	widget swipe 
git committer 	refresh layout 
info save state 	android 
hashcpy restore 	support app 
state merge strategy 	action bar 
evaluate result 	drawer 
write trivial finish 	toggle android 
automerge restore 	support app 
state restore 	alert 
state merge strategy 	dialog android 
finish write 	support 
merge state suggest 	widget linear 
conflicts free 	layout manager 
builtin git merge 	android 
copyright miklos 	support widget 
vajna vmiklos frugalware 	recycler view 
git merge 	android 
junio hamano cleans 	support widget 
metadata uninteresting 	toolbar android 
succeeded merge changes 	log 
ignore error 	android view 
example nothing restore 	menu item 
called merge 	android 
necessary ignore errors 	view view 
since user 	android 
see use full 	view animation 
terminal width 	accelerate interpolator 
respect stat 	android 
graph width config 	view animation 
run post 	decelerate interpolator 
merge hook name 	android 
merge commit 	widget image 
