adlist.c list 	abspath.c path 
resize opcode 	encoded utf 
trim size 	maximum space requirement 
max currently 	target buffer 
largest 	three utf chars 
type able 	per wide 
represent rdb 	wcslen wcs 
sizes however 	maximum space needed 
limit actual 	entire input 
size load 	consists utf words 
since 	range xffff 
sizes hints 	uffff modulo surrogate 
resize hash 	pairs per 
tables iterate 	following table utf 
writing every 	utf code 
entry release 	point utf sequence 
error 	words bytes 
eof opcode 	ratio ffff ffff 
crc checksum 	ffff dbff 
zero checksum 	dfff note invalid 
computation disabled 	code points 
loading code 	ffff cannot represented 
skips 	utf parameters 
check wrapper 	utf target buffer 
rdb save 	wcs wide 
rio additionally 	convert utflen 
adds prefix 	size target buffer 
suffix 	returns length 
generated rdb 	converted failure errors 
dump prefix 	einval one 
eof bytes 	input parameters invalid 
unguessable hex 	erange output 
suffix bytes 	buffer small critical 
hex 	section used 
announced prefix 	implementation spawn functions 
way processes 	mingw spawnv 
receiving payload 	waitpid intialised replacement 
understand ends 	main macro 
without processing 	replacement main adds 
content 	win specific 
write error 	initialization used pthread 
error already 	api implementation 
rdb save 	windows mkdir.c dir 
rio call 	mode retval 
save disk 	tmp dir 
err 	len strlen strdup 
error success 	mkdir free 
current working 	platforms deal trailing 
dir path 	mkdtemp.c mktemp 
error messages 	mkdir mktag.c sha 
make sure 	expected type 
data 	ret size buffer 
remain output 	repl buffer 
buffers use 	size typelen type 
rename make 	sha type 
sure file 	line tag line 
changed atomically 	tagger line 
generate 	len argc argv 
file child 	prefix buf 
parent per 	result sha read 
second unreached 	sha file 
load redis 	lookup replace type 
specified type 	check sha 
specified 	signature free 
file success 	error memcmp error 
newly allocated 	sha hex 
returned otherwise 	error memcmp error 
read read 	strchr error 
list load 	uintmax memcmp error 
every 	uintmax strlen 
single element 	error uintmax memcpy 
list read 	verify error 
list use 	sha hex error 
regular many 	uintmax memcmp 
entries faster 	error uintmax strstr 
expand 	strstr strpbrk 
dict right 	strpbrk error uintmax 
size asap 	error uintmax 
order avoid 	strspn error uintmax 
rehashing load 	error uintmax 
every single 	strspn atoi error 
element 	uintmax error 
list fetch 	uintmax usage 
integer element 	strbuf read die 
also called 	errno verify 
converted regular 	tag die write 
hash table 	sha file 
encoded 	die strbuf release 
read list 	sha hex 
load every 	signature file simple 
single element 	format four 
list care 	lines sha type 
integer encoded 	tag tagname 
added 	tagger committer followed 
skiplist convert 	blank line 
loading since 	free form tag 
sorted sets 	message signature 
stored ordered 	block git doesn 
many entries 	care verified 
use 	gpg similar 
hash table 	first four lines 
load every 	guaranteed least 
field ziplist 	bytes sha bytes 
load raw 	type tag 
pair ziplist 	bytes shortest possible 
convert 	type line 
hash table 	tag bytes shortest 
size threshold 	single character 
exceeded load 	tag line tagger 
remaining fields 	bytes shortest 
values hash 	possible tagger line 
table 	refuse tag 
load encoded 	something verify verify 
pair hash 	line verify 
table pairs 	type line verify 
read obj 	tag line 
type fix 	actual type verify 
encoding 	matches verify 
make sure 	tag name 
convert encoded 	allow control characters 
data type 	spaces verify 
type accordingly 	tagger line check 
current configuration 	correct form 
many 	name email followed 
elements encoded 	line angle 
data type 	brackets within name 
note check 	email address 
length max 	fields spaces within 
element size 	email address 
scan 	field check author 
eventually everything 	name least 
converted convert 	one character space 
ziplist encoded 	acceptable timestamp 
hash must 	digits followed space 
deprecated loading 	timezone digits 
dumps 	hhmm max verify 
created redis 	blank line 
gets deprecated 	separating header 
mark loading 	body actual stuff 
state setup 	afterwards care 
fields needed 	verify basic sanity 
provide 	needs start 
loading stats 	sha ntype ntagger 
load refresh 	mktree.c mode 
loading progress 	sha len name 
info loading 	alloc used 
finished track 	mode sha path 
loading 	ent len 
progress order 	sha buf size 
serve client 	ent mktree 
time time 	usage buf len 
needed calculate 	nul term 
rdb checksum 	line allow missing 
take 	ptr ntr 
non trivial 	mode path sha 
amount time 	prefix sha 
load update 	nul term 
cached time 	line allow missing 
since used 	batch mode 
create 	got eof getline 
update last 	option strlen 
interaction time 	strchr die flex 
clients important 	alloc mem 
things read 	hashcpy alloc grow 
type handle 	name compare 
special 	qsort strbuf init 
types expiretime 	strbuf addf 
load expire 	strbuf write sha 
associated next 	file strbuf 
key load 	release strtoul die 
note loading 	strchr sha 
expire 	hex die isgitlink 
need load 	unquote style 
actual type 	die strbuf 
read time 	detach type type 
need read 	die sha 
type expiretime 	info die sha 
opcode 	hex die 
specifies time 	sha hex append 
seconds convert 	parse options 
milliseconds expiretime 	getline die mktree 
milliseconds precision 	line write 
expire times 	puts sha hex 
introduced 	fflush strbuf 
rdb like 	release exit git 
expiretime precision 	stupid content 
read time 	tracker copyright junio 
need read 	hamano type 
type eof 	derived mode type 
end 	derived sha 
file exit 	read non recursive 
main loop 	output format 
selectdb specified 	mode type 
database read 	sha tab name 
type resizedb 	type perfectly 
hint 	normal commit submodule 
size keys 	beginning sha 
currently selected 	beginning name type 
data order 	redundantly derivable 
avoid useless 	three ways agree 
rehashing read 	check type 
type 	identified sha problem 
aux fields 	missing objects 
use state 	presumed right type 
rdb backward 	exists wrong 
compatible implementations 	type problem regardless 
rdb loading 	allow missing 
requierd 	entry never correct 
skip aux 	empty lines 
fields understand 	denote boundaries batch 
aux field 	mode execution 
composed two 	gets last 
key fields 	entry terminated line 
name 	line made 
staring considered 	optional consistent original 
information fields 	non batch 
logged startup 	behaviour mktree skip 
log level 	creating empty 
notice ignore 	reset entry buffer 
fields 	use batch 
understand aux 	mode mmap.c start 
field contract 	length prot 
read type 	flags offset count 
read key 	start length 
read check 	die xmalloc xpread 
key 	memset free 
already expired 	free msvc.c msvc.h 
function used 	size sisz 
loading rdb 	strlen strlen strnicmp 
file disk 	porting function 
either startup 	mv.c builtin 
rdb 	usage prefix pathspec 
received master 	count flags 
latter master 	result length copy 
responsible key 	path len 
expiry would 	slash file src 
expire keys 	first submodule 
snapshot 	gitfile submodule dotgit 
taken master 	src length 
may reflected 	first last src 
slave hash 	slash first 
table expire 	last len slash 
time needed 	path argc 
verify 	argv prefix gitmodules 
checksum rdb 	modified ignore 
version unexpected 	errors builtin options 
end file 	source destination 
handled fatal 	dest path 
exit avoid 	submodule gitfile src 
warning 	dst dst 
background saving 	pos alloc memcpy 
child bgsave 	strlen dir 
terminated work 	sep xmemdupz xstrdup 
handle function 	basename free 
covers actual 	pathspec strlen xmalloc 
bgsav 	memcpy isgitlink 
sigusr whitelisted 	die staging gitmodules 
way kill 	die strbuf 
child without 	addf read gitfile 
tirggering error 	xstrdup strbuf 
conditon possibly 	release slash cache 
slaves 	name pos 
waiting bgsave 	die strncmp free 
order served 	gitmodules config 
first stage 	git config parse 
sync bulk 	options usage 
transfer dump 	options hold 
rdb 	locked index read 
background saving 	cache die 
child bgsave 	copy pathspec xcalloc 
terminated work 	copy pathspec 
handle function 	xcalloc copy pathspec 
covers rdb 	lstat isdir 
salves 	lstat strncmp die 
socket transfers 	memmove memmove 
diskless replication 	memmove memmove rename 
child returns 	die errno 
exit code 	connect work git 
read slave 	dir update 
client 	path gitmodules cache 
associated status 	name pos 
code terminate 	strlen rename cache 
slaves error 	entry stage 
state process 	updated gitmodules write 
returned error 	locked index 
consider 	die git 
list slaves 	builtin command copyright 
emtpy special 	johannes schindelin 
normal code 	keep trailing slash 
path make 	needed git 
space count 	file dir error 
make 	special normalized 
space enough 	checking last first 
elements specified 	files overwrite 
first element 	check source destination 
replication process 	name-hash.c ent 
slaves correctly 	parent namelen name 
received 	name istate 
full payload 	name namelen key 
others terminated 	istate namelen 
search slave 	dir istate dir 
reply order 	istate dir 
slave replication 	parent istate istate 
process 	istate istate 
need find 	name len 
list must 	name len name 
error code 	namelen icase 
means success 	len istate name 
found slaves 	namelen dir 
list 	istate name start 
restore socket 	ptr ptr 
non blocking 	dir istate name 
background rdb 	namelen icase 
saving transfer 	istate strncasecmp hashmap 
terminates call 	entry init 
right 	memihash hashmap dir 
handler spawn 	sep find 
rdb child 	dir entry flex 
writes rdb 	alloc mem 
sockets slaves 	hashmap entry init 
currently slave 	memihash hashmap 
state 	hash dir entry 
wait bgsave 	hash dir 
start state 	entry namelen 
fork create 	hash dir entry 
pipe used 	namelen hashmap 
order send 	free hashmap entry 
back 	init memihash 
parent slaves 	namelen hashmap dir 
successfully received 	entry hashmap 
writes collect 	init hashmap init 
file descriptors 	hash index 
slaves want 	entry hash index 
transfer 	entry hashmap 
rdb wait 	dir entry toupper 
bgsave start 	toupper namelen 
state also 	memcmp slow name 
allocate corresponding 	lazy init 
client useful 	name hash find 
child 	dir entry 
process order 	lazy init 
build report 	name hash find 
sent via 	dir entry 
unix pipe 	memcpy lazy init 
sent parent 	name hash 
put 	hashmap hash memihash 
socket non 	name hashmap 
blocking mode 	next hashmap free 
simplify rdb 	hashmap free 
transfer restore 	name hash hashing 
children returns 	names index 
since 	state copyright linus 
duped socket 	torvalds directory 
share nonblock 	component hash quick 
attribute parent 	lookup git 
create child 	status directory components 
process child 	stored without 
returning 	closing slash despite 
least one 	submodules directory 
slave served 	never reach 
rdb file 	point stored index 
expected need 	state name 
send report 	hash ordinary cache 
parent 	entries length 
via pipe 	parent directory lookup 
format message 	existing entry 
len slave 	directory found create 
slave error 	hash table 
len slave 	recursively missing parent 
slave 	directories reference 
errors integers 	directory entry parents 
basically reply 	release reference 
composed bits 	directory entry parent 
len field 	directory name 
plus additional 	hash find exact 
bit 	entry pointer 
integers entry 	equality index file 
total len 	exists find 
entries represents 	entries matching 
slave client 	hash code decide 
master match 	whether entry 
report 	matches name always 
specific slave 	exact compare 
error replication 	even want ignoring 
process terminated 	comparison quick 
success error 	exact one first 
code error 	common name-rev.c 
occurred 	cutoff commit tip 
write message 	name generation 
parent good 	distance deref name 
slaves unable 	parents parent 
transfer message 	number len name 
parent exit 	path filter 
error 	subpath refname shorten 
parent abort 	unambiguous tags 
replication process 	name filter sha 
childre waiting 	refname alloc 
parent per 	sorted sha 
second undo 	refname shorten unambiguous 
state 	path oid 
change caller 	flags data data 
perform cleanup 	abbreviate output 
slaves bgsave 	deref commit table 
start state 	table found 
early call 	buffer len obj 
replication 	caller name 
setup slave 	always allow undefined 
full resync 	name name 
turned bgsave 	oid name rev 
end unreached 	usage data 
rdb.h rdb 	forty start sha 
type 	name len 
rdb rdb 	argc argv prefix 
rdb rdb 	revs peel 
len rdb 	tag data 
isencoded rdb 	opts sha commit 
rdb filename 	peeled buffer 
filename 	max obj parse 
childpid filename 	commit xstrfmt 
rdb type 	die xmalloc strip 
rdb exitcode 	suffix xstrfmt 
bysignal rdb 	xstrfmt name rev 
key val 	name rev 
expiretime 	wildmatch strchr shorten 
rdb copyright 	unambiguous starts 
salvatore sanfilippo 	starts name abbrev 
antirez gmail 	alloc grow 
dot rights 	hashcpy xstrdup hashcmp 
reserved redistribution 	parse starts 
use 	subpath matches tip 
source binary 	table parse 
forms without 	name abbrev name 
modification permitted 	rev xstrdup 
provided following 	qsort sha 
conditions met 	pos exact match 
redistributions 	strlen strcmp 
source code 	snprintf oid hex 
must retain 	rev name 
copyright notice 	find unique abbrev 
list conditions 	die oid 
following disclaimer 	hex ishex ishex 
redistributions 	sha lookup 
binary form 	rev name fwrite 
must reproduce 	git config 
copyright notice 	parse options error 
list conditions 	usage options 
following disclaimer 	sha parse deref 
documentation 	tag feof 
materials provided 	fgets name rev 
distribution neither 	line max 
name redis 	index indexed show 
names contributors 	name show 
may used 	name one 
endorse 	day many generations 
promote products 	maximally preferred 
derived software 	one merge traversal 
without specific 	match matched 
prior written 	fully matched subpath 
permission 	broken repository 
software provided 	returns buffer flush 
copyright holders 	hidden opt 
contributors express 	nedmalloc.c idx ret 
implied warranties 	nedalloc tls 
including limited 	last error alternative 
implied 	malloc implementation 
warranties merchantability 	multiple threads without 
fitness particular 	contention dlmalloc 
purpose disclaimed 	niall douglas boost 
shall copyright 	software license 
owner contributors 	version august permission 
liable 	hereby granted 
direct indirect 	free charge 
incidental special 	person organization obtaining 
exemplary consequential 	copy software 
damages including 	accompanying documentation covered 
limited procurement 	license software 
substitute 	use reproduce display 
goods services 	distribute execute 
loss use 	transmit software prepare 
data profits 	derivative works 
business interruption 	software permit third 
however caused 	parties software 
theory 	furnished subject following 
liability whether 	copyright notices 
contract strict 	software entire statement 
liability tort 	including license 
including negligence 	grant restriction following 
otherwise arising 	disclaimer must 
way 	included copies 
use software 	software whole part 
even advised 	derivative works 
possibility damage 	software unless copies 
tbd include 	derivative works 
necessary headers 	solely form machine 
current 	executable code 
rdb version 	generated source language 
format changes 	processor software 
way longer 	provided without warranty 
backward compatible 	kind express 
number gets 	implied including limited 
incremented 	warranties merchantability 
defines related 	fitness particular purpose 
dump file 	title non 
format store 	infringement shall copyright 
bits lengths 	holders anyone 
keys requires 	distributing software liable 
lot 	damages liability 
space check 	whether contract 
significant bits 	tort otherwise arising 
first interpreter 	connection software 
length two 	use dealings software 
msb len 	enable full 
bits 	aliasing msvc pragma 
len byes 	optimize define 
bits bits 	fullsanitychecks need enable 
next bit 	footers frees 
integer full 	right mspace dlmalloc 
bit len 	wants debug 
follow 	either disable checking 
means specially 	release builds 
encoded follow 	means spend much 
six bits 	time kernel 
number specify 	side define use 
kind follows 	spin locks 
see 	define disable checking 
rdb enc 	release builds 
defines lengths 	maximum concurrent 
stored single 	threads pool possible 
keys may 	maximum number 
values fit 	threadcaches allocated maximum 
inside 	size allocated 
length stored 	cache number cache 
disk first 	entries finer 
two bits 	grained bins topbitpos 
remaining two 	threadcachemax number 
bits specify 	cache entries topbitpos 
special 	threadcachemax point 
encoding accordingly 	free space cache 
following defines 	garbage collected 
bit integer 	enable testing valgrind 
bit integer 	causes misoperation 
bit integer 	enable testing valgrind 
compressed 	causes misoperation 
fastlz dup 	fails someone tried 
types rdb 	free block 
types reason 	twice keep 
readability dealing 	less bytes bit 
rdb types 	systems bytes 
memory 	bit systems last 
types note 	mspace entry 
adding rdb 	used much free 
type update 	space stored 
rdb type 	cache max entries 
types encoded 	use cache 
objects 	unset negative use 
note adding 	mspace directly 
rdb type 	otherwise cache mspace 
update rdb 	entries pool 
type test 	come oldest end 
type type 	list tcsanitycheck 
special 	tcbptr nedblksize tcsanitycheck 
rdb opcodes 	tcbptr list 
saved loaded 	exhausted disable calculate 
rdb save 	best fit 
type rdb 	bin size 
load type 	finer grained bin 
redis-benchmark.c 	fit match 
hostip hostport 	close move bin 
hostsocket numclients 	necessary bump 
liveclients requests 	bin nedblksize blk 
requests issued 	malloc blk 
requests finished 	size acquire mymspace 
keysize 	mutex removing 
datasize randomkeys 	cache entries older 
randomkeys keyspacelen 	age free 
keepalive pipeline 	cache release mymspace 
start totlatency 	mutex make 
latency title 	sure valid memory 
clients 	block calculate 
quiet csv 	best fit bin 
loop idlemode 	size finer 
dbnum dbnumstr 	grained bin 
tests auth 	fit dlmalloc round 
privdata mask 	round preserve 
ust 	indexing free mem 
mst next 	size threads 
privdata mask 	system pool allocate 
reply privdata 	system pool 
mask ptr 	screwed gets called 
nwritten cmd 	last used 
len 	mspace use strategy 
buf len 	run list 
curlat perc 	available mspaces looking 
reqpersec title 	unlocked one 
cmd len 	fail create one 
argc argv 	exceed threads 
lastarg 	ready modify lists 
exit status 	drat must 
loop client 	destroy really want 
data rps 	make sure 
name buf 	goes memory 
argc argv 	careful breaking aliasing 
data 	rules write 
cmd len 	twice created mspace 
title argv 	idx end 
gettimeofday gettimeofday 	last one used 
file file 	mspace last 
redis free 	used mspace returns 
sdsfree 	locked ready 
zfree zfree 	use mspace locked 
list search 	mymspace mutex 
key list 	disable use cache 
del node 	use mspace 
free client 	use cache use 
file 	mspace use 
file create 	cache reallocs always 
file random 	happen mspace 
free client 	happened skip locking 
stop reset 	preferred mspace 
client create 	frees always 
missing 	happen mspace happened 
clients free 	skip locking 
client unused 	preferred mspace use 
unused unused 	mspace implementation 
ustime redis 	purely libc version 
buffer read 	avoid crash 
exit 	due allocation free 
redis reply 	different heaps 
exit exit 	nedmalloc.h mem size 
free reply 	size mem 
sdsrange client 	size mem alignment 
done unused 	bytes parno 
unused 	pad elemsno elemsize 
unused free 	chunks elems 
client randomize 	sizes chunks capacity 
client key 	threads mem 
ustime sdslen 	size size mem 
write sdslen 	size mem 
strerror 	alignment bytes 
free client 	parno pad elemsno 
sdslen file 	elemsize chunks 
create file 	elems sizes chunks 
zmalloc redis 	nedalloc alternative 
connect non 	malloc implementation multiple 
block 	threads without 
redis connect 	contention dlmalloc niall 
unix non 	douglas boost 
block exit 	software license version 
sdsempty redis 	august permission 
format command 	hereby granted free 
sdscatlen 	charge person 
free sdscatprintf 	organization obtaining copy 
sdslen sdslen 	software accompanying 
sdscatlen sdslen 	documentation covered license 
sdscatlen zmalloc 	software use 
zmalloc strstr 	reproduce display 
zrealloc 	distribute execute transmit 
create file 	software prepare 
list node 	derivative works software 
tail create 	permit third 
client usleep 	parties software furnished 
qsort create 	subject following 
client 	copyright notices software 
create missing 	entire statement 
clients mstime 	including license grant 
main mstime 	restriction following 
show latency 	disclaimer must included 
report free 	copies software 
clients 	whole part derivative 
strcmp atoi 	works software 
strcmp atoi 	unless copies derivative 
strcmp atoi 	works solely 
strcmp strdup 	form machine executable 
strcmp atoi 	code generated 
strcmp 	source language 
strdup strcmp 	processor software provided 
strdup strcmp 	without warranty 
atoi strcmp 	kind express implied 
atoi strcmp 	including limited 
atoi strcmp 	warranties merchantability fitness 
strcmp 	particular purpose 
strcmp strcmp 	title non infringement 
strcmp sdsnew 	shall copyright 
sdscat sdscat 	holders anyone distributing 
sdstolower strcmp 	software liable 
atoi sdsfromlonglong 	damages liability whether 
strcmp 	contract tort 
exit unused 	otherwise arising connection 
unused unused 	software use 
exit fflush 	dealings software see 
mstime fflush 	malloc function 
strlen memcpy 	replace system allocator 
strstr 	causes nedalloc 
srandom time 	functions called 
signal signal 	malloc free etc 
create loop 	instead nedmalloc 
create time 	nedfree etc may 
list create 	may want 
parse 	ned prevents functions 
options zmalloc 	defined nedalloc 
create client 	uses instead extspec 
create missing 	defined dllexport 
clients main 	attribute visibility whatever 
sdsnew sdscatlen 	like defaults 
sdscatlen 	use locks want 
strlen redis 	define mlock 
format command 	initial acquire release 
argv benchmark 	locked initializer 
free zmalloc 	size functions gets 
memset test 	usable size 
selected 	allocated block note 
test selected 	always bigger 
benchmark test 	asked due 
selected test 	rounding etc pool 
selected redis 	functions creates 
format command 	memory pool use 
benchmark 	nedp functions 
free test 	capacity much allocate 
selected redis 	immediately know 
format command 	allocating lot memory 
benchmark free 	soon zero 
test selected 	threads specifies many 
redis 	threads normally 
format command 	accessing pool concurrently 
benchmark free 	setting zero 
test selected 	means demand careful 
redis format 	rapidly consume 
command benchmark 	system resources bursts 
free 	concurrent threads 
test selected 	use pool 
redis format 	destroys memory pool 
command benchmark 	previously created 
free test 	nedcreatepool sets associated 
selected redis 	pool retrieve 
format 	passing memory block 
command benchmark 	allocated pool 
free test 	gets previously nedpsetvalue 
selected redis 	zero memory 
format command 	unknown optionally also 
benchmark free 	retrieve pool 
test 	disables cache calling 
selected redis 	returning existing 
format command 	cache data central 
benchmark free 	pool notes-cache.c 
test selected 	validity sha commit 
redis format 	pretty ctx 
command 	msg ret name 
benchmark free 	validity flags 
test selected 	sha commit 
redis format 	sha key sha 
command benchmark 	outsize sha 
free test 	size key sha 
selected 	data size 
test selected 	sha read lookup 
test selected 	commit reference 
test selected 	gently memset format 
test selected 	commit message 
redis format 	strbuf trim strcmp 
command 	strbuf release 
benchmark free 	memset xstrdup strbuf 
test selected 	addf notes 
test selected 	cache match validity 
redis format 	init notes 
command benchmark 	strbuf release write 
free 	notes commit 
test selected 	strlen update note 
test selected 	read sha 
redis format 	file write 
command benchmark 	sha file note 
free test 	notes-cache.h validity 
selected 	name validity sha 
test selected 	outsize sha 
redis format 	data size notes 
command benchmark 	cache notes-merge.c 
free test 	obj local remote 
selected test 	path sha 
selected 	hex sha sha 
redis format 	list len 
command benchmark 	obj insert occupied 
free test 	last index 
selected redis 	cmp uninitialized remote 
format command 	num changes 
argv 	opt changes len 
benchmark free 	occupied obj 
redis benchmark 	changes len local 
utility copyright 	opt match 
salvatore sanfilippo 	obj obj 
antirez gmail 	buf size path 
dot 	ret obj 
rights reserved 	note size buf 
redistribution use 	result buf 
source binary 	local remote status 
forms without 	lref rref 
modification permitted 	reason changes num 
provided 	changes conflicts 
following conditions 	local remote changes 
met redistributions 	num changes 
source code 	conflicts local result 
must retain 	sha local 
copyright notice 	sha remote sha 
list 	local remote 
conditions following 	bases sha sha 
disclaimer redistributions 	result parents 
binary form 	commit result sha 
must reproduce 	dir path 
copyright notice 	buffer msg 
list 	baselen obj sha 
conditions following 	blob sha 
disclaimer documentation 	buf ret memset 
materials provided 	strbuf init 
distribution neither 	sha hex sha 
name redis 	sha sha 
names 	sha strcmp path 
contributors may 	sha hashcmp 
used endorse 	memmove memset trace 
promote products 	sha hex 
derived software 	sha hex diff 
without specific 	setup diff 
prior 	opt diff setup 
written permission 	done diff 
software provided 	sha diffcore std 
copyright holders 	xcalloc verify 
contributors express 	notes filepair 
implied warranties 	trace sha hex 
including 	sha hex 
limited implied 	find notes merge 
warranties merchantability 	pair pos 
fitness particular 	hashcmp sha sha 
purpose disclaimed 	hashcpy sha 
shall copyright 	sha hashcpy hashcpy 
owner 	hashcpy hashcpy 
contributors liable 	hashcpy trace sha 
direct indirect 	hex sha 
incidental special 	hex sha hex 
exemplary consequential 	diff flush 
damages including 	free pathspec trace 
limited 	sha hex 
procurement substitute 	sha hex diff 
goods services 	setup diff 
loss use 	opt diff setup 
data profits 	done diff 
business interruption 	sha diffcore 
however 	std verify notes 
caused theory 	filepair trace 
liability whether 	sha hex sha 
contract strict 	hex find 
liability tort 	notes merge pair 
including negligence 	pos trace 
otherwise 	sha hex sha 
arising way 	hex sha 
use software 	hex hashcmp sha 
even advised 	hashcmp hashclr 
possibility damage 	sha sha hashcmp 
use hiredis 	hashcpy hashcmp 
sds 	hashcmp hashcpy trace 
pointers rand 	sha hex 
inside command 	sha hex sha 
buf number 	hex diff 
pointers client 	flush free pathspec 
randptr number 	file exists 
unused 	git path 
pointers client 	empty dir git 
randptr bytes 	path die 
obuf already 	git path die 
written start 	git path 
time request 	safe create leading 
request 	directories git 
latency number 	path die errno 
pending requests 	git path 
replies consume 	file exists git 
non zero 	path die 
number pending 	git path git 
prefix 	pathdup sha 
commands commands 	hex safe create 
auth prefixed 	leading directories 
pipeline benchmark 	die errno file 
commands discarded 	exists die 
first send 	open die errno 
size 	write full 
bytes pending 	die errno 
prefix commands 	die close free 
prototypes implementation 	read sha 
calculate latency 	file die sha 
first read 	hex sha 
means 	hex die sha 
server already 	hex sha 
sent reply 	hex write buf 
need parse 	worktree free 
parsing overhead 	read mmblob read 
part latency 	mmblob read 
calculate 	mmblob merge sha 
prefix commands 	hex free 
auth discard 	free free die 
prefix commands 	write buf 
first response 	worktree free trace 
also 	sha hex 
need fix 	sha hex 
pointers need 	sha hex sha 
randomize initialize 	hex strbuf 
request nothing 	addstr strbuf addf 
written enforce 	sha hex 
upper 	sha hex check 
bound number 	notes merge 
requests really 	worktree sha sha 
initialize randomize 	sha hex 
keys start 	write note worktree 
time create 	sha sha 
benchmark 	sha hex write 
client configured 	note worktree 
send command 	sha sha sha 
passed cmd 	sha hex 
len bytes 	merge worktree trace 
command copied 	note merge 
times 	one change manual 
client output 	sha hex 
buffer reused 	sha hex 
send request 	note die sha 
server accordingly 	hex note 
configured pipeline 	die sha hex 
size 	note die 
also initial 	die trace trace 
command prepended 	sha hex 
order make 	sha hex sha 
sure right 	hex sha 
database selected 	hex hashcmp trace 
needed 	hashcmp trace 
initial discarded 	hashcmp hashcmp trace 
soon first 	note die 
reply received 	trace merge one 
create client 	change trace 
scratch pointer 	sha hex sha 
instead 	hex sha 
want create 	hex diff remote 
client another 	diff local 
client reference 	merge changes 
pointer points 	free strcmp hashclr 
client use 	trace read 
reference 	full die check 
following information 	refname format 
take client 	sha lookup commit 
command line 	reference die 
use offsets 	sha hex trace 
rand elements 	sha hex 
inside 	sha check refname 
command line 	format hashclr 
used arguments 	die lookup commit 
randomization even 	reference die 
cloning another 	sha hex trace 
client prefix 	sha hex 
commands 	die hashcpy hashcpy 
applied needed 	merge bases 
suppress hiredis 	sha hex sha 
cleanup unused 	hex oid 
buffers max 	hex oid 
speed build 	hex sha hex 
request 	hashcmp hashcpy 
buffer queue 	hashcmp hashcpy merge 
requests accordingly 	diffs commit 
pipeline size 	list insert commit 
simply clone 	list insert 
example client 	create notes commit 
buffer 	free commit 
prefix request 	list strbuf release 
buffer auth 	trace sha 
commands applicable 	hex commit buffer 
commands discarded 	strstr strbuf 
first response 	addstr git path 
client 	die opendir 
reused commands 	die errno strbuf 
used number 	addch readdir 
different zero 	dot dotdot 
selected prefix 	strlen sha hex 
request buffer 	strbuf addstr 
command 	stat die errno 
discarded first 	index path 
time replies 	die note die 
received client 	sha hex 
reused command 	sha hex strbuf 
used append 	setlen create 
request 	notes commit strlen 
find substrings 	unuse commit 
output buffer 	buffer sha hex 
need randomized 	strbuf release 
copy offsets 	closedir strbuf addstr 
adjust different 	git path 
prefix 	dir recursively strbuf 
length strlen 	release diff 
rand listen 	remote diff local 
backlog quite 	tend process 
limited systems 	merge pairs 
returns number 	order therefore cache 
consumed 	last returned 
options list 	index search sequentially 
tests run 	appropriate position 
form lrange 	found since inserts 
test comma 	happen diff 
order make 	remote mainly appends 
sure 	care inserting 
searching testname 	middle list expensive 
always match 	memmove obj 
test enabled 	belongs obj belongs 
user meant 	obj belongs 
provide option 	obj belongs cmp 
arg 	obj belongs 
starts dash 	obj belongs immediately 
done otherwise 	preceding index 
use remainder 	len found addition 
command arguments 	deletion pair 
running benchmark 	addition deletion 
every 	deletion either deletion 
named test 	part pair 
selected command 	pair local uninitialized 
line tests 	sha local 
selected passed 	uninitialized touch local 
user never 	uninitialized sha 
receive 	overwritten following addition 
reply wait 	addition either 
every run 	addition part pair 
benchmark command 	pair local 
remainder arguments 	uninitialized two sha 
run benchmark 	local uninitialized 
suite 	two sha local 
redis-check-aof.c error 	sha two 
epos buf 	sha modification modification 
prefix target 	one sha 
buf eptr 	shall match local 
target length 	shall uninitialized 
real 	local two 
target len 	sha must establish 
target argc 	notes merge 
pos multi 	worktree abort notes 
str argc 	merge worktree 
argv filename 	already exists notes 
fix 	merge worktree 
size pos 	already established ignore 
diff buf 	epipe conflicts 
strncmp error 	section commit message 
ftello fgets 	first time 
error strtol 	conflict checkout remote 
consume 	conflict checkout 
newline ftello 	local regular conflict 
fread error 	checkout result 
read malloc 	merge change successfully 
read bytes 	resolved stored 
consume newline 	notes change results 
read 	conflict stored 
ftello read 	notes instead 
argc read 	written notes merge 
strcasecmp error 	worktree conflict 
strcasecmp error 	markers nothing remote 
free free 	change nothing 
feof 	change local remote 
strlen error 	nothing local 
strlen exit 	change adopt remote 
strcmp exit 	change need 
exit fopen 	file level merge 
exit redis 	local remote 
fstat 	dereference local local 
fileno exit 	sha local 
exit process 	sha sha indicates 
fgets strncasecmp 	unborn dereference 
exit ftruncate 	remote remote sha 
fileno exit 	failed remote 
exit 	sha remote 
fclose copyright 	looks like unborn 
pieter noordhuis 	perform merge 
pcnoordhuis gmail 	empty notes result 
dot copyright 	remote commit 
salvatore sanfilippo 	result local commit 
antirez 	find merge 
gmail dot 	bases todo handle 
rights reserved 	multiple merge 
redistribution use 	bases already merged 
source binary 	result local 
forms without 	commit fast forward 
modification 	result remote 
permitted provided 	commit non trivial 
following conditions 	merge without 
met redistributions 	conflicts commit result 
source code 	lifo order 
must retain 	iterate files git 
copyright 	notes merge 
notice list 	worktree found 
conditions following 	notes write updated 
disclaimer redistributions 	notes commit 
binary form 	resulting reusing commit 
must reproduce 	message parents 
copyright 	commit store commit 
notice list 	sha result 
