AboutActivity.java saved 	abspath.c path 
weather 	result sha read 
activity xiecc 	sha file 
see weather 	lookup replace type 
common 	check sha 
check version 	signature free 
xiecc see 	error memcmp error 
weather 	sha hex 
common log 	error memcmp error 
xiecc see 	strchr error 
weather 	uintmax memcmp error 
common xiecc 	uintmax strlen 
see 	error uintmax memcpy 
weather component 	verify error 
retrofit singleton 	sha hex error 
xiecc 	uintmax memcmp 
see weather 	error uintmax strstr 
modules adatper 	strstr strpbrk 
weather 	strpbrk error uintmax 
adapter xiecc 	error uintmax 
see weather 	strspn error uintmax 
modules 	error uintmax 
domain setting 	strspn atoi error 
xiecc see 	uintmax error 
weather 	uintmax usage 
modules domain 	strbuf read die 
weather 	errno verify 
xiecc see 	tag die write 
weather modules 	sha file 
domain 	die strbuf release 
weather api 	sha hex 
xiecc see 	signature file simple 
weather 	format four 
modules listener 	lines sha type 
hiding scroll 	tag tagname 
listener 	tagger committer followed 
xiecc see 	blank line 
weather modules 	free form tag 
activity 	message signature 
xiecc see 	block git doesn 
weather 	care verified 
modules setting 	gpg similar 
setting activity 	first four lines 
calendar 	guaranteed least 
observable observer 	bytes sha bytes 
android schedulers 	type tag 
android 	bytes shortest possible 
schedulers functions 	type line 
action functions 	tag bytes shortest 
func 	single character 
schedulers schedulers 	tag line tagger 
android annotation 	bytes shortest 
suppress 	possible tagger line 
lint android 	refuse tag 
content 	something verify verify 
dialog android 	line verify 
content intent 	type line verify 
android 	tag line 
net uri 	actual type verify 
android build 	matches verify 
android 	tag name 
bundle android 	allow control characters 
handler android 	spaces verify 
message 	tagger line check 
android support 	correct form 
design widget 	name email followed 
collapsing 	line angle 
toolbar layout 	brackets within name 
android 	email address 
support design 	fields spaces within 
widget coordinator 	email address 
layout 	field check author 
android support 	name least 
design widget 	one character space 
floating 	acceptable timestamp 
action button 	digits followed space 
android support 	timezone digits 
design 	hhmm max verify 
widget navigation 	blank line 
view android 	separating header 
support 	body actual stuff 
design widget 	afterwards care 
snackbar 	verify basic sanity 
android support 	needs start 
content context 	sha ntype ntagger 
compat 	mktree.c mode 
android support 	sha len name 
view gravity 	alloc used 
compat 	mode sha path 
android support 	ent len 
widget drawer 	sha buf size 
layout 	ent mktree 
android support 	usage buf len 
widget swipe 	nul term 
refresh 	line allow missing 
layout android 	ptr ntr 
support 	mode path sha 
app action 	prefix sha 
bar drawer 	nul term 
toggle 	line allow missing 
android support 	batch mode 
app alert 	got eof getline 
dialog 	option strlen 
android support 	strchr die flex 
widget linear 	alloc mem 
layout 	hashcpy alloc grow 
manager android 	name compare 
support widget 	qsort strbuf init 
recycler 	strbuf addf 
view android 	strbuf write sha 
support 	file strbuf 
widget toolbar 	release strtoul die 
android log 	strchr sha 
android 	hex die isgitlink 
view menu 	unquote style 
item android 	die strbuf 
view 	detach type type 
view android 	die sha 
view animation 	info die sha 
accelerate 	hex die 
interpolator android 	sha hex append 
view animation 	parse options 
decelerate 	getline die mktree 
interpolator android 	line write 
widget 	puts sha hex 
image view 	fflush strbuf 
android widget 	release exit git 
progress 	stupid content 
bar android 	tracker copyright junio 
widget relative 	hamano type 
layout 	derived mode type 
amap api 	derived sha 
location map 	read non recursive 
location 	output format 
amap api 	mode type 
location map 	sha tab name 
location 	type perfectly 
client amap 	normal commit submodule 
api 	beginning sha 
location map 	beginning name type 
location client 	redundantly derivable 
option 	three ways agree 
amap api 	check type 
location map 	identified sha problem 
location 	missing objects 
listener bumptech 	presumed right type 
glide glide 	exists wrong 
bumptech 	type problem regardless 
glide load 	allow missing 
engine disk 	entry never correct 
cache 	empty lines 
strategy xiecc 	denote boundaries batch 
see 	mode execution 
weather xiecc 	gets last 
see weather 	entry terminated line 
activity 	line made 
xiecc see 	optional consistent original 
weather common 	non batch 
check 	behaviour mktree skip 
version xiecc 	creating empty 
see weather 	reset entry buffer 
common 	use batch 
log xiecc 	mode mmap.c start 
see weather 	length prot 
common 	flags offset count 
xiecc see 	start length 
weather 	die xmalloc xpread 
component retrofit 	memset free 
singleton xiecc 	free msvc.c msvc.h 
see 	size sisz 
weather modules 	strlen strlen strnicmp 
adatper weather 	porting function 
adapter 	mv.c builtin 
xiecc see 	usage prefix pathspec 
weather modules 	count flags 
domain 	result length copy 
setting xiecc 	path len 
see weather 	slash file src 
modules 	first submodule 
domain weather 	gitfile submodule dotgit 
xiecc 	src length 
see weather 	first last src 
modules domain 	slash first 
weather 	last len slash 
api xiecc 	path argc 
see weather 	argv prefix gitmodules 
modules 	modified ignore 
listener hiding 	errors builtin options 
scroll listener 	source destination 
xiecc 	dest path 
see weather 	submodule gitfile src 
modules activity 	dst dst 
xiecc 	pos alloc memcpy 
see weather 	strlen dir 
modules 	sep xmemdupz xstrdup 
setting setting 	basename free 
activity calendar 	pathspec strlen xmalloc 
observable 	memcpy isgitlink 
observer android 	die staging gitmodules 
schedulers android 	die strbuf 
schedulers 	addf read gitfile 
functions action 	xstrdup strbuf 
functions func 	release slash cache 
schedulers 	name pos 
schedulers android 	die strncmp free 
annotation suppress 	gitmodules config 
lint 	git config parse 
android content 	options usage 
dialog 	options hold 
android content 	locked index read 
intent android 	cache die 
net 	copy pathspec xcalloc 
uri android 	copy pathspec 
build android 	xcalloc copy pathspec 
bundle 	lstat isdir 
android handler 	lstat strncmp die 
android message 	memmove memmove 
android 	memmove memmove rename 
support design 	die errno 
widget collapsing 	connect work git 
toolbar 	dir update 
layout android 	path gitmodules cache 
support 	name pos 
design widget 	strlen rename cache 
coordinator layout 	entry stage 
android 	updated gitmodules write 
support design 	locked index 
widget floating 	die git 
action 	builtin command copyright 
button android 	johannes schindelin 
support design 	keep trailing slash 
widget 	needed git 
navigation view 	file dir error 
android support 	special normalized 
design 	checking last first 
widget snackbar 	files overwrite 
android 	check source destination 
support content 	name-hash.c ent 
context compat 	parent namelen name 
android 	name istate 
support view 	name namelen key 
gravity compat 	istate namelen 
android 	dir istate dir 
support widget 	istate dir 
drawer layout 	parent istate istate 
android 	istate istate 
support widget 	name len 
swipe refresh 	name len name 
layout 	namelen icase 
android support 	len istate name 
app 	namelen dir 
action bar 	istate name start 
drawer toggle 	ptr ptr 
android 	dir istate name 
support app 	namelen icase 
alert dialog 	istate strncasecmp hashmap 
android 	entry init 
support widget 	memihash hashmap dir 
linear layout 	sep find 
manager 	dir entry flex 
android support 	alloc mem 
widget recycler 	hashmap entry init 
view 	memihash hashmap 
android support 	hash dir entry 
widget 	hash dir 
toolbar android 	entry namelen 
log android 	hash dir entry 
view 	namelen hashmap 
menu item 	free hashmap entry 
android view 	init memihash 
view 	namelen hashmap dir 
android view 	entry hashmap 
animation accelerate 	init hashmap init 
interpolator 	hash index 
android view 	entry hash index 
animation decelerate 	entry hashmap 
interpolator 	dir entry toupper 
android widget 	toupper namelen 
image 	memcmp slow name 
view android 	lazy init 
widget progress 	name hash find 
bar 	dir entry 
android widget 	lazy init 
relative layout 	name hash find 
amap 	dir entry 
api location 	memcpy lazy init 
map location 	name hash 
amap 	hashmap hash memihash 
api location 	name hashmap 
map 	next hashmap free 
location client 	hashmap free 
amap api 	name hash hashing 
location 	names index 
map location 	state copyright linus 
client option 	torvalds directory 
amap 	component hash quick 
api location 	lookup git 
map location 	status directory components 
listener 	stored without 
bumptech glide 	closing slash despite 
glide bumptech 	submodules directory 
glide 	never reach 
load engine 	point stored index 
disk 	state name 
cache strategy 	hash ordinary cache 
xiecc see 	entries length 
weather 	parent directory lookup 
xiecc see 	existing entry 
weather activity 	directory found create 
xiecc 	hash table 
see weather 	recursively missing parent 
common check 	directories reference 
version 	directory entry parents 
xiecc see 	release reference 
weather common 	directory entry parent 
log 	directory name 
xiecc see 	hash find exact 
weather 	entry pointer 
common xiecc 	equality index file 
see weather 	exists find 
component 	entries matching 
retrofit singleton 	hash code decide 
xiecc see 	whether entry 
weather 	matches name always 
modules adatper 	exact compare 
weather adapter 	even want ignoring 
xiecc 	comparison quick 
see weather 	exact one first 
modules domain 	common name-rev.c 
setting 	cutoff commit tip 
xiecc see 	name generation 
weather 	distance deref name 
modules domain 	parents parent 
weather xiecc 	number len name 
see 	path filter 
weather modules 	subpath refname shorten 
domain weather 	unambiguous tags 
api 	name filter sha 
xiecc see 	refname alloc 
weather modules 	sorted sha 
listener 	refname shorten unambiguous 
hiding scroll 	path oid 
listener xiecc 	flags data data 
see 	abbreviate output 
weather modules 	deref commit table 
activity 	table found 
xiecc see 	buffer len obj 
weather modules 	caller name 
setting 	always allow undefined 
setting activity 	name name 
calendar observable 	oid name rev 
observer 	usage data 
android schedulers 	forty start sha 
android schedulers 	name len 
functions 	argc argv prefix 
action functions 	revs peel 
func schedulers 	tag data 
schedulers 	opts sha commit 
android annotation 	peeled buffer 
suppress 	max obj parse 
lint android 	commit xstrfmt 
content dialog 	die xmalloc strip 
android 	suffix xstrfmt 
content intent 	xstrfmt name rev 
android net 	name rev 
uri 	wildmatch strchr shorten 
android build 	unambiguous starts 
android bundle 	starts name abbrev 
android 	alloc grow 
handler android 	hashcpy xstrdup hashcmp 
message android 	parse starts 
support 	subpath matches tip 
design widget 	table parse 
collapsing 	name abbrev name 
toolbar layout 	rev xstrdup 
android support 	qsort sha 
design 	pos exact match 
widget coordinator 	strlen strcmp 
layout android 	snprintf oid hex 
support 	rev name 
design widget 	find unique abbrev 
floating action 	die oid 
button 	hex ishex ishex 
android support 	sha lookup 
design widget 	rev name fwrite 
navigation 	git config 
view android 	parse options error 
support 	usage options 
design widget 	sha parse deref 
snackbar android 	tag feof 
support 	fgets name rev 
content context 	line max 
compat android 	index indexed show 
support 	name show 
view gravity 	name one 
compat android 	day many generations 
support 	maximally preferred 
widget drawer 	one merge traversal 
layout android 	match matched 
support 	fully matched subpath 
widget swipe 	broken repository 
refresh 	returns buffer flush 
layout android 	hidden opt 
support app 	nedmalloc.c idx ret 
action 	nedalloc tls 
bar drawer 	last error alternative 
toggle android 	malloc implementation 
support 	multiple threads without 
app alert 	contention dlmalloc 
dialog android 	niall douglas boost 
support 	software license 
widget linear 	version august permission 
layout manager 	hereby granted 
android 	free charge 
support widget 	person organization obtaining 
recycler 	copy software 
view android 	accompanying documentation covered 
support widget 	license software 
toolbar 	use reproduce display 
android log 	distribute execute 
android view 	transmit software prepare 
menu 	derivative works 
item android 	software permit third 
view view 	parties software 
android 	furnished subject following 
view animation 	copyright notices 
accelerate interpolator 	software entire statement 
android 	including license 
view animation 	grant restriction following 
decelerate 	disclaimer must 
interpolator android 	included copies 
widget image 	software whole part 
view 	derivative works 
android widget 	software unless copies 
progress bar 	derivative works 
android 	solely form machine 
widget relative 	executable code 
layout amap 	generated source language 
api 	processor software 
location map 	provided without warranty 
location amap 	kind express 
api 	implied including limited 
location map 	warranties merchantability 
location 	fitness particular purpose 
client amap 	title non 
api location 	infringement shall copyright 
map 	holders anyone 
location client 	distributing software liable 
option amap 	damages liability 
api 	whether contract 
location map 	tort otherwise arising 
location listener 	connection software 
bumptech 	use dealings software 
glide glide 	enable full 
bumptech glide 	aliasing msvc pragma 
load 	optimize define 
engine disk 	fullsanitychecks need enable 
cache 	footers frees 
strategy xiecc 	right mspace dlmalloc 
see weather 	wants debug 
xiecc 	either disable checking 
see weather 	release builds 
activity xiecc 	means spend much 
see 	time kernel 
weather common 	side define use 
check version 	spin locks 
xiecc 	define disable checking 
see weather 	release builds 
common log 	maximum concurrent 
xiecc 	threads pool possible 
see weather 	maximum number 
common 	threadcaches allocated maximum 
xiecc see 	size allocated 
weather component 	cache number cache 
retrofit 	entries finer 
singleton xiecc 	grained bins topbitpos 
see weather 	threadcachemax number 
modules 	cache entries topbitpos 
adatper weather 	threadcachemax point 
adapter xiecc 	free space cache 
see 	garbage collected 
weather modules 	enable testing valgrind 
domain setting 	causes misoperation 
xiecc 	enable testing valgrind 
see weather 	causes misoperation 
modules 	fails someone tried 
domain weather 	free block 
xiecc see 	twice keep 
weather 	less bytes bit 
modules domain 	systems bytes 
weather api 	bit systems last 
xiecc 	mspace entry 
see weather 	used much free 
modules listener 	space stored 
hiding 	cache max entries 
scroll listener 	use cache 
xiecc see 	unset negative use 
weather 	mspace directly 
modules activity 	otherwise cache mspace 
xiecc 	entries pool 
see weather 	come oldest end 
modules setting 	list tcsanitycheck 
setting 	tcbptr nedblksize tcsanitycheck 
activity calendar 	tcbptr list 
observable observer 	exhausted disable calculate 
android 	best fit 
schedulers android 	bin size 
schedulers functions 	finer grained bin 
action 	fit match 
functions func 	close move bin 
schedulers schedulers 	necessary bump 
android 	bin nedblksize blk 
annotation suppress 	malloc blk 
lint 	size acquire mymspace 
android content 	mutex removing 
dialog android 	cache entries older 
content 	age free 
intent android 	cache release mymspace 
net uri 	mutex make 
android 	sure valid memory 
build android 	block calculate 
bundle android 	best fit bin 
handler 	size finer 
android message 	grained bin 
android support 	fit dlmalloc round 
design 	round preserve 
widget collapsing 	indexing free mem 
toolbar 	size threads 
layout android 	system pool allocate 
support design 	system pool 
widget 	screwed gets called 
coordinator layout 	last used 
android support 	mspace use strategy 
design 	run list 
widget floating 	available mspaces looking 
action button 	unlocked one 
android 	fail create one 
support design 	exceed threads 
widget navigation 	ready modify lists 
view 	drat must 
android support 	destroy really want 
design 	make sure 
widget snackbar 	goes memory 
android support 	careful breaking aliasing 
content 	rules write 
context compat 	twice created mspace 
android support 	idx end 
view 	last one used 
gravity compat 	mspace last 
android support 	used mspace returns 
widget 	locked ready 
drawer layout 	use mspace locked 
android support 	mymspace mutex 
widget 	disable use cache 
swipe refresh 	use mspace 
layout 	use cache use 
android support 	mspace use 
app action 	cache reallocs always 
bar 	happen mspace 
drawer toggle 	happened skip locking 
android support 	preferred mspace 
app 	frees always 
alert dialog 	happen mspace happened 
android support 	skip locking 
widget 	preferred mspace use 
linear layout 	mspace implementation 
manager android 	purely libc version 
support 	avoid crash 
widget recycler 	due allocation free 
view 	different heaps 
android support 	nedmalloc.h mem size 
widget toolbar 	size mem 
android 	size mem alignment 
log android 	bytes parno 
view menu 	pad elemsno elemsize 
item 	chunks elems 
android view 	sizes chunks capacity 
view android 	threads mem 
view 	size size mem 
animation accelerate 	size mem 
interpolator android 	alignment bytes 
view 	parno pad elemsno 
animation decelerate 	elemsize chunks 
interpolator 	elems sizes chunks 
android widget 	nedalloc alternative 
image view 	malloc implementation multiple 
android 	threads without 
widget progress 	contention dlmalloc niall 
bar android 	douglas boost 
widget 	software license version 
relative layout 	august permission 
amap api 	hereby granted free 
location 	charge person 
map location 	organization obtaining copy 
amap api 	software accompanying 
location 	documentation covered license 
map location 	software use 
client 	reproduce display 
amap api 	distribute execute transmit 
location map 	software prepare 
location 	derivative works software 
client option 	permit third 
amap api 	parties software furnished 
location 	subject following 
map location 	copyright notices software 
listener bumptech 	entire statement 
glide 	including license grant 
glide bumptech 	restriction following 
glide 	disclaimer must included 
load engine 	copies software 
disk cache 	whole part derivative 
strategy 	works software 
xiecc see 	unless copies derivative 
weather xiecc 	works solely 
see 	form machine executable 
weather activity 	code generated 
xiecc see 	source language 
weather 	processor software provided 
common check 	without warranty 
version xiecc 	kind express implied 
see 	including limited 
weather common 	warranties merchantability fitness 
log 	particular purpose 
xiecc see 	title non infringement 
weather common 	shall copyright 
xiecc 	holders anyone distributing 
see weather 	software liable 
component retrofit 	damages liability whether 
singleton 	contract tort 
xiecc see 	otherwise arising connection 
weather modules 	software use 
adatper 	dealings software see 
weather adapter 	malloc function 
xiecc see 	replace system allocator 
weather 	causes nedalloc 
modules domain 	functions called 
setting 	malloc free etc 
xiecc see 	instead nedmalloc 
weather modules 	nedfree etc may 
domain 	may want 
weather xiecc 	ned prevents functions 
see weather 	defined nedalloc 
modules 	uses instead extspec 
domain weather 	defined dllexport 
api xiecc 	attribute visibility whatever 
see 	like defaults 
weather modules 	use locks want 
listener hiding 	define mlock 
scroll 	initial acquire release 
listener xiecc 	locked initializer 
see 	size functions gets 
weather modules 	usable size 
activity xiecc 	allocated block note 
see 	always bigger 
weather modules 	asked due 
setting setting 	rounding etc pool 
activity 	functions creates 
calendar observable 	memory pool use 
observer android 	nedp functions 
schedulers 	capacity much allocate 
android schedulers 	immediately know 
functions action 	allocating lot memory 
functions 	soon zero 
func schedulers 	threads specifies many 
schedulers 	threads normally 
android annotation 	accessing pool concurrently 
suppress lint 	setting zero 
android 	means demand careful 
content dialog 	rapidly consume 
android content 	system resources bursts 
intent 	concurrent threads 
android net 	use pool 
uri android 	destroys memory pool 
build 	previously created 
android bundle 	nedcreatepool sets associated 
android handler 	pool retrieve 
android 	passing memory block 
message android 	allocated pool 
support 	gets previously nedpsetvalue 
design widget 	zero memory 
collapsing toolbar 	unknown optionally also 
layout 	retrieve pool 
android support 	disables cache calling 
design widget 	returning existing 
coordinator 	cache data central 
layout android 	pool notes-cache.c 
support design 	validity sha commit 
widget 	pretty ctx 
floating action 	msg ret name 
button android 	validity flags 
support 	sha commit 
design widget 	sha key sha 
navigation 	outsize sha 
view android 	size key sha 
support design 	data size 
widget 	sha read lookup 
snackbar android 	commit reference 
support content 	gently memset format 
context 	commit message 
compat android 	strbuf trim strcmp 
support view 	strbuf release 
gravity 	memset xstrdup strbuf 
compat android 	addf notes 
support widget 	cache match validity 
drawer 	init notes 
layout android 	strbuf release write 
support 	notes commit 
widget swipe 	strlen update note 
refresh layout 	read sha 
android 	file write 
support app 	sha file note 
action bar 	notes-cache.h validity 
drawer 	name validity sha 
toggle android 	outsize sha 
support app 	data size notes 
alert 	cache notes-merge.c 
dialog android 	obj local remote 
support widget 	path sha 
linear 	hex sha sha 
layout manager 	list len 
android 	obj insert occupied 
support widget 	last index 
recycler view 	cmp uninitialized remote 
android 	num changes 
support widget 	opt changes len 
toolbar android 	occupied obj 
log 	changes len local 
android view 	opt match 
menu item 	obj obj 
android 	buf size path 
view view 	ret obj 
android view 	note size buf 
animation 	result buf 
accelerate interpolator 	local remote status 
android 	lref rref 
view animation 	reason changes num 
decelerate interpolator 	changes conflicts 
android 	local remote changes 
widget image 	num changes 
view android 	conflicts local result 
widget 	sha local 
progress bar 	sha remote sha 
android widget 	local remote 
relative 	bases sha sha 
layout amap 	result parents 
api location 	commit result sha 
map 	dir path 
location amap 	buffer msg 
api 	baselen obj sha 
location map 	blob sha 
location client 	buf ret memset 
amap 	strbuf init 
api location 	sha hex sha 
map location 	sha sha 
client 	sha strcmp path 
option amap 	sha hashcmp 
api location 	memmove memset trace 
map 	sha hex 
location listener 	sha hex diff 
bumptech glide 	setup diff 
glide 	opt diff setup 
bumptech glide 	done diff 
load 	sha diffcore std 
engine disk 	xcalloc verify 
cache strategy 	notes filepair 
xiecc 	trace sha hex 
see weather 	sha hex 
xiecc see 	find notes merge 
weather 	pair pos 
activity xiecc 	hashcmp sha sha 
see weather 	hashcpy sha 
common 	sha hashcpy hashcpy 
check version 	hashcpy hashcpy 
xiecc see 	hashcpy trace sha 
weather 	hex sha 
common log 	hex sha hex 
xiecc 	diff flush 
see weather 	free pathspec trace 
common xiecc 	sha hex 
see 	sha hex diff 
weather component 	setup diff 
retrofit singleton 	opt diff setup 
xiecc 	done diff 
see weather 	sha diffcore 
modules adatper 	std verify notes 
weather 	filepair trace 
adapter xiecc 	sha hex sha 
see weather 	hex find 
modules 	notes merge pair 
domain setting 	pos trace 
xiecc 	sha hex sha 
see weather 	hex sha 
modules domain 	hex hashcmp sha 
weather 	hashcmp hashclr 
xiecc see 	sha sha hashcmp 
weather modules 	hashcpy hashcmp 
domain 	hashcmp hashcpy trace 
weather api 	sha hex 
xiecc see 	sha hex sha 
weather 	hex diff 
modules listener 	flush free pathspec 
hiding scroll 	file exists 
listener 	git path 
xiecc see 	empty dir git 
weather 	path die 
modules activity 	git path die 
xiecc see 	git path 
weather 	safe create leading 
modules setting 	directories git 
setting activity 	path die errno 
calendar 	git path 
observable observer 	file exists git 
android schedulers 	path die 
android 	git path git 
schedulers functions 	pathdup sha 
action functions 	hex safe create 
func 	leading directories 
schedulers schedulers 	die errno file 
android 	exists die 
annotation suppress 	open die errno 
lint android 	write full 
content 	die errno 
dialog android 	die close free 
content intent 	read sha 
android 	file die sha 
net uri 	hex sha 
android build 	hex die sha 
android 	hex sha 
bundle android 	hex write buf 
handler android 	worktree free 
message 	read mmblob read 
android support 	mmblob read 
design 	mmblob merge sha 
widget collapsing 	hex free 
toolbar layout 	free free die 
android 	write buf 
support design 	worktree free trace 
widget coordinator 	sha hex 
layout 	sha hex 
android support 	sha hex sha 
design widget 	hex strbuf 
floating 	addstr strbuf addf 
action button 	sha hex 
android support 	sha hex check 
design 	notes merge 
widget navigation 	worktree sha sha 
view 	sha hex 
android support 	write note worktree 
design widget 	sha sha 
snackbar 	sha hex write 
android support 	note worktree 
content context 	sha sha sha 
compat 	sha hex 
android support 	merge worktree trace 
view gravity 	note merge 
compat 	one change manual 
android support 	sha hex 
widget drawer 	sha hex 
layout 	note die sha 
android support 	hex note 
widget 	die sha hex 
swipe refresh 	note die 
layout android 	die trace trace 
support 	sha hex 
app action 	sha hex sha 
bar drawer 	hex sha 
toggle 	hex hashcmp trace 
android support 	hashcmp trace 
app alert 	hashcmp hashcmp trace 
dialog 	note die 
android support 	trace merge one 
widget linear 	change trace 
layout 	sha hex sha 
manager android 	hex sha 
support 	hex diff remote 
widget recycler 	diff local 
view android 	merge changes 
support 	free strcmp hashclr 
widget toolbar 	trace read 
android log 	full die check 
android 	refname format 
view menu 	sha lookup commit 
item android 	reference die 
view 	sha hex trace 
view android 	sha hex 
view animation 	sha check refname 
accelerate 	format hashclr 
interpolator android 	die lookup commit 
view 	reference die 
animation decelerate 	sha hex trace 
interpolator android 	sha hex 
widget 	die hashcpy hashcpy 
image view 	merge bases 
android widget 	sha hex sha 
progress 	hex oid 
bar android 	hex oid 
widget relative 	hex sha hex 
layout 	hashcmp hashcpy 
amap api 	hashcmp hashcpy merge 
location map 	diffs commit 
location 	list insert commit 
amap api 	list insert 
location 	create notes commit 
map location 	free commit 
client amap 	list strbuf release 
api 	trace sha 
location map 	hex commit buffer 
location client 	strstr strbuf 
option 	addstr git path 
amap api 	die opendir 
location map 	die errno strbuf 
location 	addch readdir 
listener bumptech 	dot dotdot 
glide glide 	strlen sha hex 
bumptech 	strbuf addstr 
glide load 	stat die errno 
engine 	index path 
disk cache 	die note die 
strategy xiecc 	sha hex 
see 	sha hex strbuf 
weather xiecc 	setlen create 
see weather 	notes commit strlen 
activity 	unuse commit 
xiecc see 	buffer sha hex 
weather common 	strbuf release 
check 	closedir strbuf addstr 
version xiecc 	git path 
see 	dir recursively strbuf 
weather common 	release diff 
log xiecc 	remote diff local 
see 	tend process 
weather common 	merge pairs 
xiecc see 	order therefore cache 
weather 	last returned 
component retrofit 	index search sequentially 
singleton xiecc 	appropriate position 
see 	found since inserts 
weather modules 	happen diff 
adatper weather 	remote mainly appends 
adapter 	care inserting 
xiecc see 	middle list expensive 
weather 	memmove obj 
modules domain 	belongs obj belongs 
setting xiecc 	obj belongs 
see 	obj belongs cmp 
weather modules 	obj belongs 
domain weather 	obj belongs immediately 
xiecc 	preceding index 
see weather 	len found addition 
modules domain 	deletion pair 
weather 	addition deletion 
api xiecc 	deletion either deletion 
see weather 	part pair 
modules 	pair local uninitialized 
listener hiding 	sha local 
scroll 	uninitialized touch local 
listener xiecc 	uninitialized sha 
see weather 	overwritten following addition 
modules 	addition either 
activity xiecc 	addition part pair 
see weather 	pair local 
modules 	uninitialized two sha 
setting setting 	local uninitialized 
activity calendar 	two sha local 
observable 	sha two 
observer android 	sha modification modification 
schedulers android 	one sha 
schedulers 	shall match local 
functions action 	shall uninitialized 
functions 	local two 
func schedulers 	sha must establish 
schedulers android 	notes merge 
annotation 	worktree abort notes 
suppress lint 	merge worktree 
android content 	already exists notes 
dialog 	merge worktree 
android content 	already established ignore 
intent android 	epipe conflicts 
net 	section commit message 
uri android 	first time 
build android 	conflict checkout remote 
bundle 	conflict checkout 
android handler 	local regular conflict 
android 	checkout result 
message android 	merge change successfully 
support design 	resolved stored 
widget 	notes change results 
collapsing toolbar 	conflict stored 
layout android 	notes instead 
support 	written notes merge 
design widget 	worktree conflict 
coordinator layout 	markers nothing remote 
android 	change nothing 
support design 	change local remote 
widget floating 	nothing local 
action 	change adopt remote 
button android 	change need 
support 	file level merge 
design widget 	local remote 
navigation view 	dereference local local 
android 	sha local 
support design 	sha sha indicates 
widget snackbar 	unborn dereference 
android 	remote remote sha 
support content 	failed remote 
context compat 	sha remote 
android 	looks like unborn 
support view 	perform merge 
gravity compat 	empty notes result 
android 	remote commit 
support widget 	result local commit 
drawer 	find merge 
layout android 	bases todo handle 
support widget 	multiple merge 
swipe 	bases already merged 
refresh layout 	result local 
android support 	commit fast forward 
app 	result remote 
action bar 	commit non trivial 
drawer toggle 	merge without 
android 	conflicts commit result 
support app 	lifo order 
alert dialog 	iterate files git 
android 	notes merge 
support widget 	worktree found 
linear 	notes write updated 
layout manager 	notes commit 
android support 	resulting reusing commit 
widget 	message parents 
recycler view 	commit store commit 
android support 	sha result 
widget 	sha write file 
toolbar android 	blob files 
log android 	within git notes 
view 	merge worktree 
menu item 	git notes merge 
android view 	worktree directory 
view 	since might current 
android view 	working directory 
animation 	user notes-merge.h local 
accelerate interpolator 	remote commit 
android view 	msg verbosity local 
animation 	result sha 
decelerate interpolator 	commit result 
android widget 	sha merge notes 
image 	remote local 
view android 	given notes local 
widget progress 	must notes 
bar 	referenced local notes 
android widget 	level merge 
relative layout 	performed commits given 
amap 	two refs 
api location 	merged producing one 
map 	following outcomes 
location amap 	merge trivially results 
api location 	existing commit 
map 	fast forward already 
location client 	date local 
amap api 	untouched sha result 
location 	written result 
map location 	sha returned merge 
client option 	successfully completes 
amap 	producing merge 
api location 	commit local contains 
map location 	updated notes 
listener 	sha resulting commit 
bumptech glide 	written result 
glide 	sha returned merge 
bumptech glide 	results conflicts 
load engine 	similar merge result 
disk 	merge result 
cache strategy 	minus unmerged entries 
xiecc see 	stored local 
weather 	sha resulting commit 
xiecc see 	amended conflicts 
weather activity 	resolved written result 
xiecc 	sha unmerged 
see weather 	entries written git 
common check 	notes merge 
version 	worktree directory 
xiecc see 	conflict markers returned 
weather 	local remote 
common log 	must given non 
xiecc see 	either although 
weather 	may refer non 
common xiecc 	existing notes 
see weather 	notes interpreted empty 
component 	notes merge 
retrofit singleton 	trivially results points 
xiecc see 	finalize conflict 
weather 	resolution earlier notes 
modules adatper 	merge given 
weather adapter 	notes must notes 
xiecc 	corresponding given 
see weather 	commit result commit 
modules 	created previous 
domain setting 	call notes merge 
xiecc see 	function resolved 
weather 	notes git 
modules domain 	notes merge worktree 
weather xiecc 	create notes 
see 	merge commit sha 
weather modules 	stored result 
domain weather 	sha abort conflict 
api 	resolution earlier 
xiecc see 	notes merge removes 
weather modules 	notes merge 
listener 	worktree git notes 
hiding scroll 	merge worktree 
listener 	notes-utils.c parents msg 
xiecc see 	msg len 
weather modules 	result sha sha 
activity 	parent sha 
xiecc see 	parent msg buf 
weather modules 	commit sha 
setting 	parse notes merge 
setting activity 	strategy cmd 
calendar observable 	rewrite mode 
observer 	env rewrite refs 
android schedulers 	env obj 
android schedulers 	obj ret msg 
functions 	write notes 
action functions 	die read lookup 
func 	commit parse 
schedulers schedulers 	commit die commit 
android annotation 	list insert 
suppress 	commit die die 
lint android 	strbuf addstr 
content dialog 	strbuf complete line 
android 	create notes 
content intent 	commit strbuf insert 
android net 	update strbuf 
uri 	release strcasecmp strcasecmp 
android build 	strcasecmp strcasecmp 
android bundle 	starts strcmp git 
android 	config strcmp 
handler android 	config error 
message 	nonbool parse combine 
android support 	notes error 
design widget 	strcmp starts list 
collapsing 	refs glob 
toolbar layout 	warning xmalloc getenv 
android support 	getenv xcalloc 
design 	parse combine notes 
widget coordinator 	error list 
layout android 	refs colon sep 
support 	git config 
